C199S_1,C199S1_BG,C199S_2,C199S2_BG,C199S_3,C199S3_BG,C199S4,C199S4_BG,C199S5,C199S5_BG,C199S6,C199S6_BG,C199S7,C199S7_BG,C199S8,C199S8_BG,C199S9,C199S9_BG,C199S10,C199S10_BG,C199S11,C199S11_BG,C199S12,C199S12_BG,C199S13,C199S13_BG,C199S14,C199S14_BG,C199S15,C199S15_BG,C199S16,C199S16_BG
7.165,0.482,6.468,0.35,5.7,0.356,14.508,3.842,12.218,1.168,10.396,0.285,9.325,0.48,20.582,0.48,7.815,0.107,8.271,0.224,9.635,0.475,11.185,0.411,1.567,0.586,10.385,0.874,6.981,0.874,11.175,0.372
7.063,0.443,6.498,0.352,7.869,0.348,14.158,5.775,11.871,1.107,10.067,0.316,9.083,0.48,20.198,0.48,7.6,0.179,7.985,0.245,9.686,0.499,11.12,0.318,1.561,0.643,9.772,0.915,6.797,0.915,10.9,0.5
7.07,0.409,6.481,0.377,7.886,0.336,14.215,5.988,11.808,0.974,10.062,0.269,8.631,0.408,19.653,0.408,7.421,0.194,7.752,0.224,9.651,0.482,11.081,0.4,1.534,0.57,9.559,0.859,6.786,0.859,10.761,0.469
6.978,0.423,6.564,0.348,7.881,0.346,14.237,6.309,12.011,0.964,9.967,0.296,8.264,0.474,19.13,0.474,7.33,0.189,7.593,0.219,9.533,0.488,10.913,0.334,1.574,0.626,9.427,0.835,6.795,0.835,10.771,0.443
6.913,0.441,6.524,0.298,7.827,0.36,14.292,6.364,11.968,0.944,10.001,0.273,8.221,0.474,18.826,0.474,7.243,0.179,7.444,0.199,9.442,0.526,10.725,0.357,1.553,0.6,9.352,0.856,6.774,0.856,10.635,0.458
6.818,0.435,6.505,0.292,7.807,0.308,14.313,6.682,12.044,0.857,9.915,0.298,7.92,0.51,18.561,0.51,7.167,0.148,7.302,0.179,9.241,0.502,10.493,0.374,1.559,0.526,9.313,0.917,6.777,0.917,10.554,0.469
6.718,0.399,6.462,0.346,7.723,0.296,14.375,7.333,12.101,0.985,9.978,0.269,7.827,0.505,18.179,0.505,7.095,0.107,7.214,0.204,9.09,0.466,10.229,0.347,1.537,0.488,9.242,0.867,6.79,0.867,10.456,0.63
6.618,0.372,6.444,0.283,7.635,0.296,14.263,7.629,12.037,0.903,9.948,0.33,7.58,0.444,17.865,0.444,7.026,0.204,7.062,0.179,8.831,0.493,10.035,0.368,1.529,0.555,9.159,0.901,6.755,0.901,10.372,0.666
6.529,0.421,6.411,0.316,7.521,0.342,14.165,8.711,11.945,0.857,9.929,0.33,7.436,0.378,17.498,0.378,6.919,0.209,7.028,0.26,8.7,0.483,9.795,0.4,1.538,0.594,9.003,0.872,6.767,0.872,10.274,0.455
6.441,0.417,6.353,0.292,7.458,0.34,14.027,10.184,11.8,0.827,9.842,0.294,7.326,0.434,17.039,0.434,6.861,0.168,6.935,0.199,8.553,0.458,9.575,0.403,1.496,0.555,8.874,0.83,6.657,0.83,10.008,0.551
6.333,0.496,6.335,0.283,7.334,0.356,13.861,10.565,11.626,0.755,9.744,0.277,7.092,0.52,16.89,0.52,6.81,0.148,6.852,0.214,8.419,0.443,9.49,0.336,1.533,0.552,8.631,0.88,6.609,0.88,9.881,0.346
6.197,0.458,6.28,0.283,7.207,0.334,13.62,11.598,11.439,0.837,9.591,0.294,6.974,0.556,16.65,0.556,6.783,0.122,6.743,0.153,8.337,0.477,9.395,0.411,1.558,0.579,8.422,0.891,6.543,0.891,9.649,0.602
6.131,0.451,6.224,0.3,7.113,0.328,13.498,11.498,11.242,0.929,9.557,0.267,6.833,0.423,16.375,0.423,6.738,0.224,6.626,0.23,8.255,0.533,9.274,0.427,1.551,0.56,8.23,0.782,6.454,0.782,9.465,0.489
5.978,0.449,6.148,0.31,7.013,0.356,13.285,10.533,11.145,0.888,9.384,0.352,6.681,0.403,16.09,0.403,6.623,0.138,6.513,0.173,8.236,0.458,9.123,0.406,1.544,0.589,8.099,0.803,6.417,0.803,9.325,0.346
5.875,0.433,6.034,0.251,6.937,0.308,13.041,7.995,10.913,0.806,9.256,0.249,6.53,0.408,15.652,0.408,6.567,0.112,6.457,0.219,8.105,0.526,8.992,0.398,1.556,0.589,7.992,0.808,6.345,0.808,9.151,0.584
5.804,0.413,6.012,0.271,6.842,0.36,12.917,6.904,10.755,0.939,9.172,0.253,6.319,0.413,15.478,0.413,6.51,0.173,6.386,0.24,8.015,0.488,8.865,0.395,1.533,0.592,7.852,0.834,6.353,0.834,9.016,0.479
5.768,0.399,5.93,0.245,6.756,0.33,12.782,6.1,10.671,0.929,9.198,0.277,6.333,0.434,15.24,0.434,6.487,0.179,6.27,0.255,7.924,0.466,8.853,0.416,1.545,0.606,7.759,0.811,6.356,0.811,8.875,0.644
5.626,0.385,5.842,0.298,6.687,0.344,12.715,6.653,10.601,0.801,9.147,0.302,6.195,0.357,15.091,0.357,6.421,0.102,6.164,0.194,7.859,0.467,8.747,0.387,1.552,0.515,7.646,0.821,6.355,0.821,8.809,0.356
