kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_5-488,kl-3_5-BG,ND42_5-568,kl-3_5-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG
20.497,0.042,6.604,0.064,24.756,0.255,12.266,0.347,28.197,0.255,11.631,0.347,39.845,1.362,10.866,0.842,24.959,0.065,15.803,0.125,23.609,0.92,12.945,0.731,29.51,0.44,16.054,0.587,29.861,0.44,26.094,0.587,12.687,0.033,5.171,0.109,18.876,0.033,11.539,0.109,23.25,1.969,7.092,3.389,21.452,0.245,16.348,0.574,24.333,0.248,13.438,0.218,12.315,0.13,8.94,0.161,71.873,0.234,32.92,0.37
20.329,0.051,6.584,0.053,29.707,0.413,15.199,0.591,27.372,0.413,11.868,0.591,38.892,1.355,10.602,0.738,25.317,0.065,15.434,0.145,23.393,0.842,12.799,0.716,29.028,0.476,15.308,0.673,29.708,0.476,24.964,0.673,13.432,0.025,5.345,0.116,18.818,0.025,10.117,0.116,22.641,1.984,6.781,3.739,24.886,0.241,18.754,0.647,23.828,0.192,12.854,0.202,12.799,0.145,9.086,0.156,70.989,0.282,32.442,0.355
20.234,0.036,6.518,0.069,29.019,0.516,15.133,0.555,27.758,0.516,11.934,0.555,32.326,1.229,8.867,0.644,25.376,0.056,15.278,0.211,23.245,0.869,12.868,0.685,28.815,0.34,14.755,0.556,29.76,0.34,24.531,0.556,13.652,0.027,5.307,0.102,18.504,0.027,9.696,0.102,22.246,2.096,6.472,3.861,24.951,0.25,18.796,0.612,24.045,0.189,12.732,0.219,12.461,0.134,8.622,0.12,71.266,0.234,32.521,0.363
20.156,0.036,6.542,0.091,28.752,0.327,15.105,0.518,27.549,0.327,11.866,0.518,31.494,1.173,8.772,0.629,25.361,0.064,14.875,0.178,23.392,0.895,12.627,0.74,28.646,0.342,14.521,0.545,29.785,0.342,24.433,0.545,12.794,0.042,4.989,0.098,18.458,0.042,9.731,0.098,22.061,1.929,6.165,3.529,25.027,0.281,19.23,0.616,24.097,0.224,12.775,0.195,12.438,0.114,8.64,0.139,70.353,0.262,32.012,0.363
20.094,0.033,6.42,0.069,28.788,0.411,15.098,0.549,27.704,0.411,11.846,0.549,31.162,1.164,8.795,0.638,25.606,0.062,14.767,0.151,23.28,0.885,12.607,0.738,28.402,0.336,14.389,0.456,29.681,0.336,24.406,0.456,13.551,0.035,5.188,0.098,18.437,0.035,9.563,0.098,22.032,1.973,6.113,3.473,25.034,0.297,19.849,0.741,24.079,0.202,12.689,0.178,12.456,0.123,8.674,0.138,72.655,0.218,32.799,0.331
19.93,0.036,6.36,0.071,28.755,0.415,15.156,0.52,27.47,0.415,11.676,0.52,30.976,1.216,8.802,0.676,25.57,0.067,14.456,0.185,23.21,0.865,12.401,0.715,28.141,0.342,14.149,0.511,29.661,0.342,24.177,0.511,12.953,0.035,5.002,0.107,18.511,0.035,9.119,0.107,22.253,2.02,6.013,3.277,25.228,0.277,20.365,0.668,24.052,0.227,12.819,0.198,12.511,0.12,8.669,0.091,73.099,0.229,32.826,0.326
19.999,0.038,6.281,0.078,28.282,0.393,14.867,0.52,27.458,0.393,11.386,0.52,30.952,1.162,8.886,0.671,25.622,0.093,14.26,0.187,23.101,0.878,12.352,0.625,28.135,0.336,13.855,0.478,29.739,0.336,23.869,0.478,12.922,0.018,4.947,0.113,18.449,0.018,9.028,0.113,21.872,2.002,5.684,3.453,25.487,0.25,20.924,0.674,23.959,0.24,12.795,0.178,12.427,0.12,8.605,0.129,73.056,0.237,32.858,0.318
19.887,0.038,6.15,0.06,28.375,0.413,14.675,0.524,27.449,0.413,11.13,0.524,31.065,1.224,9.031,0.673,25.442,0.08,13.781,0.12,23.063,0.891,12.25,0.671,28.228,0.342,13.331,0.522,29.61,0.342,23.397,0.522,13.109,0.015,4.894,0.113,18.345,0.015,8.65,0.113,21.958,1.813,5.613,3.435,25.668,0.263,21.712,0.714,23.836,0.206,12.77,0.243,12.167,0.138,8.375,0.114,74.321,0.19,32.242,0.264
19.852,0.033,5.928,0.071,28.219,0.456,14.288,0.567,27.457,0.456,10.885,0.567,30.799,1.273,9.054,0.627,25.305,0.076,13.439,0.164,23.063,0.875,12.022,0.687,27.858,0.396,12.865,0.467,29.595,0.396,22.875,0.467,13.302,0.029,4.883,0.115,18.146,0.029,8.414,0.115,21.305,2.147,5.291,3.879,26.111,0.263,22.316,0.746,23.735,0.184,12.572,0.2,12.256,0.125,8.402,0.114,73.643,0.224,31.453,0.323
19.859,0.044,5.793,0.082,28.313,0.384,14.005,0.555,27.379,0.384,10.694,0.555,31.015,1.087,9.099,0.665,25.142,0.085,13.04,0.169,23.068,0.851,11.924,0.722,27.633,0.36,12.544,0.451,29.664,0.36,22.386,0.451,13.23,0.02,4.792,0.102,17.876,0.02,8.011,0.102,21.485,2.04,5.372,3.692,26.587,0.266,22.813,0.694,23.493,0.234,12.386,0.187,12.182,0.089,8.31,0.103,73.07,0.222,30.617,0.317
