kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG
27.87,0.622,9.256,0.6,26.411,0.189,9.064,0.133,56.892,0.389,17.134,0.389,40.797,2.267,28.649,3.278,37.831,2.267,13.597,3.278,41.905,2.089,21.632,1.5,63.345,0.467,33.363,0.689,39.299,1.744,26.431,2.044,44.23,0.156,19.247,0.233,33.109,0.333,14.837,0.46,38.031,0.333,23.852,0.46,51.71,0.222,26.209,0.286,46.736,0.365,18.712,0.333,105.564,0.857,37.152,0.698,57.667,0.857,36.342,0.698,70.854,0.222,28.536,0.159
27.48,0.533,9.413,0.667,26.292,0.189,9.202,0.211,56.376,0.3,16.858,0.289,40.905,2.744,27.817,3.289,37.744,2.744,13.41,3.289,41.736,2.044,21.265,1.633,64.769,0.378,31.442,0.633,38.406,2.289,23.243,2.889,44.643,0.144,19.094,0.156,53.016,0.349,14.419,0.349,60.317,0.349,23.57,0.349,81.436,0.524,25.759,0.333,43.253,0.444,12.176,0.286,105.433,0.698,35.955,0.984,57.993,0.698,35.349,0.984,70.991,0.238,27.669,0.175
27.064,0.589,9.2,0.578,26.317,0.144,9.183,0.133,55.8,0.189,16.697,0.178,40.121,2.222,27.237,3.478,37.583,2.222,13.183,3.478,41.57,1.867,21.204,1.678,64.402,0.433,31.076,0.633,38.116,2.2,22.294,2.811,44.178,0.167,18.596,0.178,53.183,0.429,17.758,0.222,59.874,0.429,28.685,0.222,81.295,0.476,31.912,0.381,67.737,0.46,24.849,0.508,102.638,0.698,34.248,0.571,58.187,0.698,35.043,0.571,70.904,0.127,27.809,0.143
27.389,0.522,9.032,0.678,26.336,0.156,9.086,0.156,56.498,0.344,16.782,0.3,40.247,2.356,26.192,2.856,37.296,2.356,12.908,2.856,41.365,1.778,21.104,1.611,63.942,0.578,29.897,0.567,37.371,2.144,21.689,2.533,44.4,0.111,18.348,0.178,53.051,0.476,17.424,0.365,59.781,0.476,28.117,0.365,80.846,0.397,31.368,0.54,69.992,0.571,25.544,0.46,101.111,0.619,33.397,0.698,57.869,0.619,35.094,0.698,70.71,0.127,27.657,0.063
26.116,0.589,8.544,0.667,26.242,0.322,9.259,0.122,56.67,0.367,16.842,0.289,39.828,2.4,25.752,3.344,37.103,2.4,12.657,3.344,41.514,1.844,20.822,1.578,62.916,0.378,29.466,0.522,36.8,2.133,21.079,2.533,44.062,0.244,18,0.211,53.537,0.302,17.35,0.302,59.685,0.302,27.757,0.302,81.106,0.317,31.49,0.333,69.918,0.222,25.258,0.333,100.11,0.651,32.683,0.73,57.718,0.651,34.722,0.73,70.659,0.19,27.581,0.063
27.414,0.489,9.209,0.567,26.239,0.211,9.163,0.189,56,0.344,16.545,0.311,39.946,2.6,25.437,3.233,37.003,2.6,12.528,3.233,41.655,2.078,20.635,1.733,62.615,0.4,28.77,0.511,36.368,2.178,20.5,2.822,43.972,0.178,17.619,0.144,53.341,0.317,17.184,0.302,59.267,0.317,27.474,0.302,80.603,0.302,30.996,0.19,69.86,0.508,25.086,0.429,100.199,0.587,32.296,0.746,57.585,0.587,34.415,0.746,70.401,0.222,27.576,0.206
27.454,0.633,8.937,0.511,26.215,0.278,8.962,0.089,56.15,0.344,16.683,0.367,40.142,2.411,24.736,3.211,37.014,2.411,12.353,3.211,41.223,1.767,20.71,1.544,62.089,0.378,28.294,0.678,35.972,2.2,19.942,2.5,43.859,0.222,17.43,0.189,53.1,0.254,17.099,0.27,58.693,0.254,26.923,0.27,80.353,0.524,30.914,0.429,69.564,0.397,24.919,0.381,89.501,0.54,29.238,0.508,57.641,0.54,34.365,0.508,70.304,0.127,27.553,0.206
27.322,0.544,8.962,0.556,26.26,0.244,9.008,0.044,56.135,0.311,16.594,0.356,40.245,2.411,24.397,3.122,36.994,2.411,12.252,3.122,41.181,2.167,20.775,1.589,61.843,0.411,27.737,0.411,35.662,2.2,19.357,2.567,44.016,0.156,17.126,0.1,53.36,0.349,16.823,0.349,58.867,0.349,26.702,0.349,80.678,0.365,30.474,0.413,69.3,0.508,24.551,0.381,84.39,0.508,27.618,0.635,57.067,0.508,34.122,0.635,70.219,0.175,27.177,0.063
27.144,0.522,8.854,0.689,26.303,0.256,8.896,0.211,56.049,0.411,16.449,0.389,39.67,1.989,24.477,3.122,37.136,1.989,12.206,3.122,41.228,1.933,20.817,1.578,61.674,0.467,27.204,0.567,35.305,2,18.73,2.544,43.72,0.211,16.787,0.178,53.78,0.238,16.752,0.27,58.377,0.238,26.077,0.27,80.711,0.413,30.161,0.429,69.049,0.492,24.158,0.603,93.873,0.794,29.696,0.651,56.943,0.794,33.844,0.651,70.436,0.143,27.187,0.222
27.169,0.6,8.822,0.678,26.003,0.222,8.843,0.089,55.807,0.222,16.464,0.278,39.996,2.356,23.742,2.878,36.785,2.356,12.135,2.878,40.891,2.089,20.762,1.378,62.091,0.444,26.457,0.567,35.232,2.156,18.472,2.522,44.219,0.178,16.609,0.178,53.648,0.222,16.405,0.413,57.843,0.222,25.716,0.413,79.768,0.302,30.125,0.508,68.947,0.46,24.131,0.429,98.63,0.746,30.353,0.556,56.749,0.746,33.348,0.556,70.383,0.095,26.844,0.175
