G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG
16.419,0.093,4.551,0.27,21.079,0.093,9.162,0.27,16.839,0.659,17.639,0.525,13.512,0.591,12.747,0.93,11.101,0.591,12.21,0.93,36.794,0.295,19.413,0.539,40.322,0.295,16.971,0.539,21.713,0.041,12.529,0.114,19.785,0.041,11.1,0.114,13.932,0.075,8.909,0.13,24.089,0.452,12.687,0.843,20.642,0.452,15.252,0.843,12.977,0.101,11.226,0.114,13.178,0.101,9.786,0.114,23.897,0.181,17.115,0.233
18.044,0.084,4.971,0.232,22.472,0.084,9.596,0.232,16.93,0.645,17.328,0.614,13.438,0.645,12.513,0.955,11.142,0.645,12.096,0.955,36.919,0.37,18.891,0.482,40.643,0.37,16.606,0.482,21.538,0.039,12.209,0.116,19.573,0.039,10.961,0.116,13.841,0.059,8.613,0.123,23.612,0.412,12.338,0.689,21.119,0.412,15.021,0.689,13.173,0.092,11.01,0.141,13.231,0.092,9.658,0.141,23.937,0.138,16.945,0.267
18.21,0.116,4.941,0.241,22.38,0.116,9.653,0.241,16.864,0.63,17.278,0.564,13.344,0.555,12.271,0.92,11.13,0.555,11.949,0.92,37.536,0.439,18.95,0.832,40.911,0.439,16.433,0.832,21.501,0.052,12.161,0.114,19.388,0.052,10.948,0.114,13.813,0.059,8.518,0.127,23.739,0.403,12.354,0.704,21.239,0.403,15.056,0.704,13.339,0.104,10.942,0.121,13.154,0.104,9.434,0.121,23.918,0.11,17.304,0.255
17.631,0.077,4.923,0.255,22.356,0.077,9.498,0.255,16.825,0.598,17.002,0.484,13.236,0.536,12.061,0.984,11.07,0.536,11.867,0.984,37.452,0.423,18.56,0.841,39.52,0.423,15.678,0.841,21.195,0.061,11.996,0.136,19.199,0.061,10.954,0.136,13.69,0.064,8.475,0.127,23.867,0.381,12.572,0.716,21.283,0.381,15.379,0.716,13.264,0.083,10.898,0.116,13.238,0.083,9.409,0.116,23.95,0.163,17.224,0.249
17.724,0.077,4.889,0.234,22.157,0.077,9.451,0.234,16.858,0.559,16.778,0.582,13.189,0.589,11.882,0.9,11.101,0.589,11.801,0.9,37.796,0.43,18.365,0.655,39.202,0.43,15.433,0.655,21.058,0.064,11.832,0.107,18.983,0.064,10.885,0.107,13.679,0.08,8.516,0.102,23.774,0.399,12.765,0.702,21.22,0.399,15.733,0.702,13.125,0.11,10.782,0.116,13.126,0.11,9.159,0.116,23.804,0.135,17.391,0.308
17.712,0.075,4.857,0.252,22.238,0.075,9.392,0.252,16.732,0.609,16.731,0.55,13.077,0.53,11.729,0.905,11.123,0.53,11.754,0.905,37.226,0.386,17.673,0.945,40.172,0.386,15.564,0.945,20.898,0.032,11.641,0.125,18.84,0.032,10.824,0.125,13.676,0.064,8.438,0.127,23.867,0.387,13.117,0.708,21.219,0.387,16.101,0.708,12.948,0.092,10.663,0.117,13.034,0.092,8.967,0.117,23.5,0.142,17.546,0.295
17.568,0.089,4.798,0.275,22.066,0.089,9.208,0.275,16.674,0.566,16.365,0.55,12.943,0.548,11.577,0.9,11.132,0.548,11.702,0.9,36.78,0.375,17.345,0.816,40.054,0.375,15.227,0.816,20.713,0.059,11.525,0.093,18.758,0.059,10.745,0.093,13.607,0.057,8.292,0.111,23.718,0.391,13.349,0.702,21.261,0.391,16.388,0.702,12.836,0.083,10.525,0.108,12.813,0.083,8.769,0.108,23.383,0.157,17.632,0.302
17.461,0.07,4.737,0.266,22.132,0.07,9.084,0.266,16.552,0.486,16.257,0.505,12.844,0.552,11.277,0.907,11.171,0.552,11.378,0.907,36.617,0.327,16.791,0.95,38.917,0.327,14.587,0.95,20.592,0.048,11.27,0.118,18.567,0.048,10.524,0.118,13.674,0.077,8.158,0.107,23.604,0.387,13.48,0.628,21.289,0.387,16.473,0.628,12.618,0.089,10.363,0.12,12.737,0.089,8.516,0.12,23.509,0.136,16.692,0.286
17.473,0.089,4.661,0.216,22.027,0.089,8.784,0.216,16.625,0.591,16.063,0.548,12.632,0.507,11.029,0.97,11.105,0.507,11.22,0.97,36.965,0.357,16.412,0.855,38.91,0.357,14.273,0.855,20.435,0.064,10.987,0.118,18.396,0.064,10.341,0.118,13.493,0.066,7.921,0.13,23.563,0.401,13.381,0.581,21.329,0.401,16.495,0.581,12.669,0.086,10.287,0.09,12.747,0.086,8.446,0.09,24.205,0.135,16.176,0.262
17.369,0.057,4.559,0.223,22.095,0.057,8.597,0.223,16.553,0.561,15.678,0.484,12.68,0.543,10.68,0.868,11.163,0.543,10.924,0.868,36.429,0.373,16.097,0.834,39.486,0.373,14.28,0.834,20.466,0.039,10.868,0.086,18.377,0.039,10.195,0.086,13.343,0.075,7.767,0.111,23.457,0.342,13.263,0.604,21.292,0.342,16.456,0.604,12.88,0.098,10.38,0.129,12.776,0.098,8.487,0.129,24.093,0.141,15.794,0.259
17.66,0.055,4.464,0.245,22.26,0.055,8.373,0.245,16.413,0.584,15.3,0.477,12.429,0.53,10.361,0.936,11.152,0.53,10.688,0.936,36.348,0.398,15.463,0.811,39.726,0.398,13.916,0.811,20.386,0.036,10.595,0.105,18.428,0.036,10.091,0.105,13.308,0.043,7.617,0.13,23.433,0.29,13.233,0.613,21.444,0.29,16.403,0.613,12.928,0.089,10.196,0.121,12.68,0.089,8.354,0.121,23.649,0.136,15.852,0.287
17.672,0.059,4.387,0.284,22.165,0.059,8.164,0.284,16.625,0.468,14.953,0.564,12.532,0.582,10.082,0.977,11.233,0.582,10.415,0.977,36.265,0.364,15.046,0.72,39.441,0.364,13.536,0.72,20.339,0.041,10.438,0.084,18.434,0.041,9.925,0.084,13.283,0.068,7.471,0.13,23.372,0.382,13.118,0.591,21.476,0.382,16.249,0.591,13.11,0.093,10.071,0.153,12.776,0.093,8.312,0.153,23.568,0.141,15.734,0.219
17.546,0.107,4.289,0.218,22.154,0.107,7.997,0.218,16.551,0.561,14.488,0.516,12.296,0.539,9.602,0.98,11.202,0.539,10.195,0.98,36.13,0.334,14.678,0.798,39.9,0.334,13.587,0.798,20.356,0.048,10.203,0.132,18.196,0.048,9.797,0.132,13.13,0.064,7.34,0.148,23.211,0.339,13.147,0.56,21.667,0.339,16.289,0.56,13.085,0.086,10.024,0.124,12.792,0.086,8.309,0.124,23.516,0.13,15.499,0.268
17.473,0.111,4.184,0.243,22.111,0.111,7.653,0.243,16.462,0.548,14.137,0.441,12.17,0.505,9.368,1,11.208,0.505,9.971,1,35.956,0.334,14.269,0.786,39.407,0.334,13.146,0.786,20.224,0.052,10.039,0.116,18.163,0.052,9.69,0.116,12.98,0.061,7.185,0.118,23.115,0.316,13.102,0.557,21.696,0.316,16.344,0.557,13.44,0.098,9.945,0.124,12.806,0.098,8.235,0.124,23.619,0.136,15.354,0.277
17.437,0.061,4.146,0.266,21.947,0.061,7.555,0.266,16.527,0.516,13.838,0.532,12.132,0.564,9.055,0.934,11.252,0.564,9.821,0.934,35.626,0.37,13.85,0.98,39.873,0.37,13.195,0.98,19.914,0.05,9.779,0.095,17.962,0.05,9.603,0.095,12.969,0.066,7.102,0.105,23.065,0.293,13.138,0.55,21.764,0.293,16.358,0.55,13.235,0.093,9.953,0.133,12.69,0.093,8.164,0.133,23.565,0.114,15.12,0.273
17.415,0.082,4.099,0.214,21.975,0.082,7.366,0.214,16.485,0.484,13.499,0.545,11.993,0.55,8.79,0.875,11.198,0.55,9.593,0.875,36.262,0.407,13.855,0.759,40.387,0.407,13.084,0.759,19.947,0.05,9.645,0.093,17.89,0.05,9.509,0.093,12.9,0.048,7.041,0.114,22.807,0.286,13.186,0.527,21.736,0.286,16.442,0.527,13.31,0.102,9.737,0.157,12.659,0.102,8.031,0.157,23.572,0.142,14.942,0.276
17.3,0.07,4.025,0.277,21.772,0.07,7.234,0.277,16.39,0.455,13.242,0.445,12.062,0.523,8.541,0.923,11.209,0.523,9.48,0.923,35.761,0.448,13.481,0.952,39.613,0.448,12.761,0.952,19.795,0.052,9.506,0.098,17.846,0.052,9.442,0.098,12.834,0.055,6.964,0.141,22.795,0.289,13.213,0.624,21.851,0.289,16.59,0.624,13.249,0.092,9.71,0.13,12.554,0.092,7.961,0.13,23.882,0.148,14.609,0.212
17.301,0.052,4.005,0.218,21.809,0.052,7.169,0.218,16.388,0.47,12.87,0.398,11.964,0.566,8.293,0.991,11.177,0.566,9.284,0.991,35.876,0.414,13.306,0.823,40.217,0.414,12.877,0.823,19.65,0.039,9.429,0.114,17.728,0.039,9.457,0.114,12.69,0.043,6.994,0.105,22.769,0.284,13.383,0.523,21.811,0.284,16.848,0.523,12.966,0.077,9.657,0.11,12.465,0.077,7.863,0.11,23.814,0.117,14.235,0.253
17.355,0.089,3.995,0.252,21.823,0.089,6.978,0.252,16.4,0.498,12.781,0.507,11.734,0.573,8.112,0.927,11.217,0.573,9.155,0.927,35.82,0.359,13.089,0.757,40.226,0.359,12.819,0.757,19.459,0.045,9.095,0.111,17.541,0.045,9.312,0.111,12.751,0.057,6.929,0.116,22.563,0.289,13.502,0.492,21.879,0.289,16.984,0.492,13.134,0.107,9.552,0.114,12.505,0.107,7.744,0.114,23.862,0.159,14.203,0.24
17.216,0.052,3.974,0.234,21.619,0.052,6.919,0.234,16.354,0.486,12.431,0.473,11.708,0.527,7.932,0.966,11.283,0.527,9.019,0.966,35.579,0.391,12.83,0.693,39.83,0.391,12.669,0.693,19.344,0.02,8.988,0.139,17.2,0.02,9.266,0.139,12.702,0.052,6.935,0.107,22.337,0.308,13.642,0.536,21.962,0.308,17.136,0.536,12.838,0.102,9.337,0.13,12.35,0.102,7.5,0.13,23.927,0.129,14.027,0.268
17.206,0.059,3.978,0.223,21.559,0.059,6.779,0.223,16.284,0.423,12.188,0.436,11.625,0.559,7.755,0.977,11.187,0.559,8.951,0.977,35.477,0.352,12.758,0.53,40.337,0.352,12.809,0.53,19.201,0.034,8.947,0.068,17.101,0.034,9.252,0.068,12.594,0.066,6.942,0.084,22.191,0.261,13.764,0.548,21.992,0.261,17.366,0.548,12.65,0.064,9.147,0.127,12.221,0.064,7.399,0.127,23.895,0.116,13.912,0.219
17.092,0.075,3.915,0.22,21.554,0.075,6.67,0.22,16.17,0.457,12.035,0.436,11.424,0.541,7.475,0.93,11.249,0.541,8.805,0.93,35.066,0.361,12.597,0.614,40.481,0.361,12.538,0.614,19.058,0.043,8.768,0.077,16.881,0.043,9.29,0.077,12.504,0.048,6.872,0.095,22.093,0.301,13.849,0.468,21.973,0.301,17.564,0.468,12.49,0.095,9.065,0.111,12.142,0.095,7.144,0.111,23.979,0.116,13.719,0.259
17.196,0.08,3.91,0.239,21.503,0.08,6.566,0.239,16.098,0.473,11.83,0.432,11.29,0.568,7.4,0.92,11.226,0.568,8.812,0.92,34.568,0.35,12.365,0.584,40.098,0.35,12.763,0.584,18.861,0.045,8.81,0.075,16.724,0.045,9.302,0.075,12.432,0.039,6.878,0.148,21.781,0.276,13.924,0.498,22.036,0.276,17.714,0.498,12.606,0.064,8.941,0.166,12.032,0.064,7.014,0.166,23.943,0.105,13.619,0.256
16.859,0.066,3.872,0.25,21.218,0.066,6.471,0.25,16.016,0.45,11.497,0.45,11.054,0.475,7.194,0.861,11.29,0.475,8.753,0.861,34.507,0.314,12.272,0.541,40.982,0.314,12.753,0.541,18.595,0.039,8.635,0.141,16.617,0.039,9.292,0.141,12.319,0.052,6.832,0.118,21.766,0.274,14.108,0.468,21.957,0.274,17.921,0.468,12.451,0.098,8.823,0.111,12.005,0.098,7.014,0.111,23.869,0.123,13.63,0.224
16.961,0.043,3.831,0.227,21.109,0.043,6.357,0.227,15.986,0.489,11.525,0.448,11.202,0.534,7.147,0.948,11.358,0.534,8.685,0.948,34.242,0.33,12.161,0.55,39.973,0.33,12.712,0.55,18.593,0.043,8.497,0.098,16.555,0.043,9.256,0.098,12.305,0.041,6.933,0.107,21.518,0.24,14.261,0.413,21.946,0.24,18.154,0.413,12.333,0.059,8.772,0.123,11.805,0.059,6.855,0.123,23.929,0.117,13.411,0.234
17.023,0.073,3.849,0.223,21.132,0.073,6.276,0.223,15.903,0.398,11.235,0.443,10.952,0.518,6.945,0.939,11.31,0.518,8.596,0.939,33.767,0.307,12.072,0.495,40.754,0.307,12.693,0.495,18.434,0.041,8.405,0.114,16.369,0.041,9.155,0.114,12.174,0.066,6.851,0.118,21.369,0.241,14.604,0.449,21.95,0.241,18.351,0.449,12.179,0.074,8.695,0.123,11.777,0.074,6.761,0.123,24.001,0.139,13.468,0.206
17.084,0.055,3.862,0.239,21.228,0.055,6.246,0.239,15.864,0.393,11.123,0.436,10.953,0.525,6.918,0.955,11.282,0.525,8.581,0.955,33.665,0.264,12.019,0.477,40.784,0.264,12.84,0.477,18.269,0.052,8.387,0.12,16.32,0.052,9.24,0.12,12.038,0.068,6.862,0.12,21.24,0.249,14.711,0.455,21.972,0.249,18.575,0.455,12.026,0.068,8.566,0.139,11.629,0.068,6.628,0.139,23.793,0.13,13.456,0.261
17.088,0.066,3.877,0.248,21.253,0.066,6.22,0.248,15.951,0.42,11.091,0.42,10.89,0.491,6.8,0.943,11.282,0.491,8.521,0.943,33.687,0.327,11.956,0.484,40.263,0.327,12.688,0.484,18.264,0.039,8.322,0.093,16.048,0.039,9.29,0.093,11.854,0.036,6.804,0.125,21.178,0.28,14.867,0.452,21.928,0.28,18.718,0.452,12.051,0.062,8.546,0.133,11.552,0.062,6.566,0.133,23.669,0.11,13.441,0.231
17.134,0.055,3.868,0.245,21.319,0.055,6.075,0.245,15.752,0.37,10.951,0.45,10.806,0.527,6.771,0.875,11.259,0.527,8.528,0.875,33.362,0.314,11.9,0.468,40.033,0.314,12.795,0.468,17.885,0.041,8.28,0.13,15.738,0.041,9.308,0.13,11.776,0.036,6.873,0.111,20.818,0.255,14.939,0.425,22.015,0.255,18.759,0.425,11.827,0.071,8.514,0.126,11.5,0.071,6.478,0.126,23.689,0.127,13.463,0.271
17.105,0.066,3.948,0.207,21.149,0.066,6.06,0.207,15.807,0.466,10.913,0.414,10.646,0.489,6.586,0.864,11.312,0.489,8.479,0.864,33.089,0.309,11.678,0.55,40.653,0.309,13.055,0.55,17.741,0.043,8.271,0.102,15.551,0.043,9.304,0.102,11.64,0.045,6.846,0.139,20.676,0.28,15.026,0.4,21.843,0.28,18.988,0.4,11.691,0.092,8.465,0.11,11.394,0.092,6.341,0.11,23.575,0.148,13.498,0.241
