6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG,6-Pgd_6-488,6-Pgd_6-BG,6-Pgd_6-568,6-Pgd_6-BG,6-Pgd_7-488,6-Pgd_7-BG,6-Pgd_7-568,6-Pgd_7-BG,6-Pgd_8-488,6-Pgd_8-BG,6-Pgd_8-568,6-Pgd_8-BG,6-Pgd_9-488,6-Pgd_9-BG,6-Pgd_9-568,6-Pgd_9-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_12-488,6-Pgd_12-BG,6-Pgd_12-568,6-Pgd_12-BG,6-Pgd_13-488,6-Pgd_13-BG,6-Pgd_13-568,6-Pgd_13-BG,6-Pgd_14-488,6-Pgd_14-BG,6-Pgd_14-568,6-Pgd_14-BG,6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG
25.599,0.233,8.28,0.417,24.166,0.233,10.834,0.417,34.522,0.747,9.748,0.533,35.547,0.831,9.55,0.875,41.097,0.831,10.078,0.875,18.996,0.036,19.076,0.119,6.985,0.033,4.521,0.064,29.901,0.069,19.37,0.178,34.833,2.403,20.258,1.267,26.309,0.064,16.766,0.147,23.48,0.064,15.949,0.147,20.479,0.786,9.446,0.611,21.072,0.786,10.807,0.611,20.867,0.064,12.833,0.192,15.444,0.025,11.234,0.158,21.718,0.022,10.691,0.05,30.009,0.397,11.737,0.58,23.909,0.442,11.574,0.696,16.804,0.295,11.662,0.583,12.173,0.043,8.441,0.063,12.862,0.132,8.011,0.152
25.81,0.336,8.214,0.558,22.991,0.336,10.56,0.558,33.552,0.653,9.519,0.486,35.307,0.706,9.667,0.939,40.772,0.706,9.803,0.939,19.307,0.022,19.579,0.086,7.028,0.036,4.484,0.092,30.213,0.069,20.307,0.181,35.096,2.458,19.895,1.208,26.616,0.061,16.605,0.164,23.4,0.061,15.711,0.164,20.854,0.761,9.664,0.594,20.973,0.761,10.905,0.594,21.003,0.056,12.876,0.244,15.382,0.058,10.825,0.128,21.563,0.019,10.447,0.078,29.817,0.356,11.555,0.578,24.21,0.327,11.619,0.673,16.945,0.317,11.115,0.576,10.97,0.036,7.508,0.091,12.48,0.166,7.963,0.159
25.566,0.314,8.182,0.639,23.038,0.314,10.731,0.639,28.589,0.606,8.229,0.439,34.436,0.633,9.751,0.675,38.036,0.633,9.23,0.675,19.277,0.042,19.568,0.142,7.005,0.031,4.498,0.056,29.972,0.058,20.536,0.2,34.65,2.339,19.618,1.258,26.63,0.072,16.52,0.136,23.226,0.072,15.34,0.136,20.768,0.814,9.565,0.597,21.038,0.814,10.941,0.597,20.859,0.056,12.689,0.183,15.333,0.042,10.677,0.128,21.62,0.033,10.272,0.097,29.778,0.304,11.302,0.478,24.039,0.34,11.378,0.626,17.001,0.265,11.112,0.617,11.007,0.032,7.262,0.091,12.528,0.125,8.035,0.177
25.47,0.306,8.129,0.561,22.965,0.306,10.809,0.561,27.738,0.619,7.946,0.467,34.202,0.608,9.853,0.667,37.463,0.608,8.98,0.667,19.299,0.036,19.723,0.069,7.083,0.042,4.543,0.075,29.957,0.053,20.62,0.167,34.765,2.453,19.463,1.347,26.649,0.1,16.416,0.172,23.089,0.1,15.129,0.172,21.568,0.769,9.92,0.619,21.086,0.769,10.915,0.619,20.649,0.058,12.541,0.203,15.341,0.025,10.658,0.117,21.582,0.039,10.204,0.053,29.787,0.311,11.076,0.49,24.011,0.376,11.355,0.687,16.982,0.263,11.102,0.58,10.858,0.034,7.377,0.091,12.44,0.134,8.086,0.172
25.36,0.311,8.08,0.542,22.855,0.311,10.81,0.542,27.338,0.547,7.911,0.386,34.144,0.642,9.967,0.619,37.214,0.642,8.911,0.619,19.357,0.036,19.583,0.103,7.055,0.025,4.536,0.069,30.169,0.069,20.733,0.181,34.626,2.556,19.372,1.192,26.698,0.086,16.193,0.122,22.969,0.086,14.967,0.122,20.7,0.831,9.564,0.592,20.955,0.831,10.918,0.592,20.568,0.056,12.39,0.186,15.298,0.019,10.595,0.114,21.625,0.014,10.183,0.05,29.695,0.338,10.858,0.583,23.955,0.404,11.169,0.683,16.999,0.268,11.228,0.56,11.436,0.027,7.632,0.061,12.38,0.181,8.223,0.147
25.263,0.325,7.939,0.531,22.852,0.325,10.72,0.531,27.348,0.603,7.814,0.356,34.149,0.586,9.867,0.628,37.158,0.586,8.673,0.628,19.297,0.056,19.573,0.078,7.041,0.039,4.573,0.056,30.225,0.047,20.651,0.192,34.643,2.378,19.148,1.261,26.584,0.097,15.834,0.147,22.947,0.097,14.667,0.147,20.965,0.803,9.594,0.6,21.061,0.803,10.894,0.6,20.394,0.056,12.287,0.181,15.338,0.022,10.499,0.108,21.648,0.019,10.143,0.072,29.708,0.336,10.666,0.524,23.741,0.361,11.014,0.739,17.092,0.293,11.31,0.621,11.303,0.048,7.523,0.091,12.539,0.127,8.214,0.168
25.159,0.272,7.881,0.467,22.892,0.272,10.6,0.467,27.006,0.561,7.792,0.428,34.008,0.675,9.935,0.656,37.069,0.675,8.471,0.656,19.265,0.039,19.471,0.125,7.131,0.022,4.611,0.053,30.118,0.078,20.391,0.15,34.898,2.486,18.914,1.325,26.628,0.078,15.583,0.158,22.94,0.078,14.304,0.158,20.875,0.844,9.437,0.606,20.792,0.844,10.668,0.606,20.296,0.058,12.058,0.186,15.312,0.064,10.301,0.114,21.717,0.025,9.922,0.067,29.724,0.34,10.426,0.56,23.891,0.383,10.867,0.712,16.96,0.329,11.321,0.544,11.198,0.05,7.262,0.086,12.508,0.132,8.326,0.159
25.131,0.286,7.677,0.528,22.779,0.286,10.365,0.528,27.029,0.542,7.736,0.458,33.968,0.661,9.976,0.653,36.876,0.661,8.397,0.653,19.331,0.031,19.506,0.117,7.088,0.039,4.586,0.069,30.034,0.044,20.036,0.164,34.552,2.533,18.569,1.308,26.544,0.081,15.321,0.158,22.648,0.081,14.045,0.158,20.841,0.806,9.271,0.597,20.845,0.806,10.529,0.597,20.153,0.056,11.785,0.2,15.256,0.042,10.12,0.103,21.731,0.031,9.725,0.072,29.953,0.336,10.15,0.488,23.896,0.358,10.642,0.63,17.063,0.268,11.332,0.571,10.868,0.048,7.226,0.082,12.555,0.168,8.417,0.17
25.106,0.244,7.549,0.542,22.87,0.244,10.171,0.542,27.095,0.597,7.736,0.414,33.881,0.583,10.012,0.65,36.92,0.583,8.418,0.65,19.299,0.053,19.237,0.125,7.143,0.022,4.626,0.047,30.07,0.056,19.854,0.211,34.832,2.469,18.201,1.281,26.32,0.092,14.96,0.167,22.807,0.092,13.849,0.167,20.746,0.756,9.139,0.578,20.938,0.756,10.369,0.578,20.165,0.064,11.503,0.175,15.301,0.019,9.95,0.078,21.7,0.033,9.604,0.056,29.906,0.322,9.873,0.524,24.041,0.281,10.636,0.628,16.95,0.259,11.287,0.644,11.113,0.036,7.134,0.075,11.759,0.116,6.992,0.154
25.19,0.331,7.364,0.503,22.8,0.331,9.865,0.503,27.029,0.622,7.698,0.419,33.876,0.6,10.157,0.658,36.644,0.6,8.257,0.658,19.281,0.036,19.061,0.086,7.128,0.025,4.583,0.056,30.092,0.067,19.541,0.192,34.943,2.514,17.841,1.306,26.435,0.072,14.599,0.136,22.903,0.072,13.637,0.136,21.367,0.786,9.267,0.606,20.912,0.786,10.091,0.606,20.156,0.075,11.319,0.211,15.22,0.025,9.663,0.131,21.556,0.028,9.339,0.069,29.955,0.347,9.711,0.562,24.052,0.329,10.507,0.624,17.022,0.277,11.181,0.59,11.064,0.057,7.069,0.082,12.004,0.1,6.715,0.159
