Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG
34.773,0.194,15.143,0.213,36.095,0.194,10.925,0.213,30.482,1.667,10.931,0.694,21.986,1.667,6.975,0.694,30.403,0.407,15.447,0.472,37.806,0.407,16.035,0.472,21.534,0.306,13.751,0.38,84.644,0.463,43.234,1.046,76.84,3.759,34.189,4.259,42.065,0.175,32.043,0.325,33.013,0.2,15.054,0.4,31.752,0.375,14.053,0.525,38.837,0.375,21.62,0.525,27.335,0.312,16.913,0.125
23.265,0.25,9.911,0.213,26.585,0.25,7.57,0.213,30.246,2.065,11.134,0.593,21.882,2.065,6.889,0.593,30.606,0.333,14.976,0.454,38.394,0.333,15.934,0.454,27.398,0.204,15.81,0.5,83.847,0.38,42.851,1.009,77.094,4.389,33.982,4.12,58.581,0.15,38.649,0.262,39.778,0.25,14.76,0.275,49.04,0.625,13.824,0.488,62.302,0.625,21.611,0.488,43.603,0.637,16.657,0.25
31.599,0.241,14.053,0.241,35.587,0.241,10.729,0.241,30.305,1.917,11.158,0.519,21.902,1.917,6.872,0.519,30.478,0.352,14.81,0.519,38.414,0.352,15.51,0.519,29.145,0.306,15.951,0.333,83.263,0.546,42.167,1.083,76.092,3.991,33.68,3.972,78.26,0.188,47.264,0.287,52.392,0.375,18.19,0.325,49.628,0.575,17.307,0.625,61.568,0.575,26.84,0.625,43.762,0.438,20.743,0.387
28.087,0.259,12.522,0.176,35.261,0.259,10.43,0.176,30.367,1.954,11.287,0.519,21.994,1.954,6.822,0.519,30.482,0.306,14.433,0.426,38.294,0.306,15.152,0.426,29.603,0.241,15.674,0.398,80.489,0.444,40.44,1.093,75.548,4.065,33.311,4.407,82.364,0.275,49.496,0.363,51.365,0.237,18.117,0.3,49.383,0.463,17.444,0.562,61.88,0.463,26.65,0.562,43.616,0.525,20.671,0.325
34.261,0.296,14.892,0.213,35.47,0.296,10.233,0.213,30.516,2.148,11.443,0.583,21.765,2.148,6.966,0.583,30.299,0.315,14.179,0.528,38.563,0.315,14.943,0.528,30.067,0.315,15.408,0.352,76.767,0.426,38.743,0.981,74.527,4.093,32.888,4.259,83.514,0.225,50.474,0.287,52.375,0.275,18.064,0.35,48.6,0.488,17.026,0.55,63.019,0.488,27.061,0.55,43.431,0.375,20.494,0.325
34.11,0.231,14.437,0.222,35.211,0.231,10.251,0.222,30.608,2.065,11.252,0.713,21.849,2.065,6.931,0.713,30.52,0.361,14.177,0.333,38.486,0.361,14.861,0.333,30.357,0.241,15.046,0.38,75.003,0.435,37.292,1.074,74.596,3.898,32.814,4.222,83.493,0.138,50.547,0.3,51.682,0.287,17.919,0.275,48.691,0.5,17.663,0.938,61.895,0.5,26.912,0.938,43.607,0.512,20.465,0.363
34.34,0.241,14.54,0.222,35.039,0.241,10.023,0.222,30.46,1.889,11.233,0.546,21.691,1.889,6.838,0.546,30.06,0.278,13.932,0.5,38.854,0.278,14.55,0.5,30.499,0.296,14.618,0.398,75.466,0.398,37.838,1.102,74.654,4.157,32.56,4,84.226,0.162,50.141,0.237,50.37,0.275,17.551,0.3,48.037,0.562,17.416,0.55,46.812,0.562,20.758,0.55,43.406,0.438,20.246,0.312
34.409,0.278,14.398,0.241,35.022,0.278,9.969,0.241,30.287,1.972,11.378,0.556,21.78,1.972,6.955,0.556,30.225,0.398,13.723,0.528,38.81,0.398,14.296,0.528,30.376,0.213,14.2,0.38,75.053,0.417,37.039,1.009,73.687,3.954,32.041,3.954,83.929,0.15,50.009,0.2,51.176,0.2,17.647,0.387,47.676,0.575,17.135,0.575,62.023,0.575,26.627,0.575,42.926,0.425,19.953,0.213
34.196,0.269,14.3,0.204,34.974,0.269,9.698,0.204,30.359,2.167,11.308,0.593,21.652,2.167,6.746,0.593,30.181,0.38,13.646,0.537,38.68,0.38,14.232,0.537,30.361,0.269,13.85,0.296,76.288,0.593,36.69,0.889,73.905,4.009,31.839,4.38,84.073,0.213,49.856,0.225,51.217,0.375,17.649,0.175,47.127,0.512,17.069,0.613,61.397,0.512,26.563,0.613,21.688,0.425,9.563,0.387
33.984,0.176,13.958,0.185,35.093,0.176,9.562,0.185,30.724,2.074,11.406,0.454,16.188,2.074,5.159,0.454,30.162,0.444,13.625,0.565,38.622,0.444,14.167,0.565,29.752,0.296,13.277,0.361,76.169,0.315,37.252,1.065,73.213,3.981,31.202,4.241,83.703,0.138,49.04,0.287,51.102,0.188,17.486,0.213,46.537,0.488,16.832,0.663,61.978,0.488,27.039,0.663,41.914,0.375,19.26,0.162
33.539,0.25,13.509,0.102,34.684,0.25,9.503,0.102,30.66,2.083,11.319,0.602,21.38,2.083,6.91,0.602,30.183,0.472,13.691,0.491,38.962,0.472,13.994,0.491,30.096,0.269,13.072,0.426,76.846,0.343,37.202,0.87,72.362,4.083,30.595,3.963,81.135,0.25,47.237,0.438,45.701,0.262,15.91,0.287,32.884,0.425,11.673,0.488,61.21,0.425,26.749,0.488,42.529,0.438,19.613,0.387
33.589,0.269,13.637,0.157,33.328,0.269,9.079,0.157,31.241,0.676,11.397,0.37,21.399,0.676,6.822,0.37,30.196,0.306,13.373,0.315,38.776,0.306,13.828,0.315,30.452,0.231,12.751,0.417,77.29,0.38,37.546,1.083,71.52,3.972,30.027,3.648,79.55,0.262,45.819,0.237,50.13,0.363,17.239,0.4,44.898,0.463,16.176,0.4,62.113,0.463,27.113,0.4,42.604,0.312,19.308,0.162
32.893,0.204,13.285,0.222,34.019,0.204,8.961,0.222,31.673,1.787,11.497,0.5,21.4,1.787,6.687,0.5,30.15,0.361,13.239,0.426,38.946,0.361,13.811,0.426,30.307,0.296,12.316,0.454,75.53,0.481,36.358,1.037,70.779,3.676,29.297,3.907,77.518,0.262,43.741,0.2,50.366,0.237,17.183,0.225,45.217,0.538,16.361,0.6,61.161,0.538,26.47,0.6,42.591,0.5,19.247,0.287
32.439,0.213,13.048,0.213,33.582,0.213,8.765,0.213,31.544,1.935,11.552,0.694,21.068,1.935,6.677,0.694,29.936,0.278,13.252,0.398,38.72,0.278,13.632,0.398,30.292,0.333,12.239,0.343,77.532,0.361,36.71,0.935,69.142,3.444,28.53,3.898,77.689,0.188,43.738,0.312,50.064,0.3,17.148,0.363,44.294,0.55,16.477,0.637,60.519,0.55,26.361,0.637,42.121,0.463,19.019,0.287
32.452,0.157,12.887,0.315,33.305,0.157,8.622,0.315,32.137,1.694,11.707,0.481,21.195,1.694,6.67,0.481,30.076,0.352,13.209,0.398,38.846,0.352,13.602,0.398,30.651,0.194,11.949,0.241,75.892,0.398,36.109,1.065,67.392,3.769,27.568,4.083,78.016,0.275,43.579,0.25,49.285,0.2,17.194,0.275,43.389,0.438,16.204,0.613,60.851,0.438,26.844,0.613,41.339,0.45,18.961,0.4
31.973,0.231,12.8,0.167,32.771,0.231,8.485,0.167,32.091,1.852,11.831,0.565,20.912,1.852,6.73,0.565,29.763,0.324,13.022,0.324,38.925,0.324,13.343,0.324,30.667,0.194,11.8,0.25,75.333,0.444,35.465,0.815,66.596,3.75,27.194,3.593,80.123,0.15,45.349,0.275,48.457,0.2,17.096,0.325,43.08,0.375,16.215,0.525,60.136,0.375,26.914,0.525,41.536,0.387,18.894,0.325
31.889,0.204,12.423,0.167,32.712,0.204,8.305,0.167,32.545,1.63,11.819,0.574,21.122,1.63,6.801,0.574,30.178,0.333,12.911,0.435,38.694,0.333,13.267,0.435,30.911,0.231,11.679,0.352,73.83,0.417,35.148,0.852,64.693,3.519,26.265,3.5,81.157,0.237,46.399,0.237,48.958,0.225,17.174,0.325,43.045,0.412,16.133,0.488,59.696,0.412,26.58,0.488,41.532,0.275,18.755,0.25
31.392,0.296,12.216,0.213,32.192,0.296,8.136,0.213,32.523,1.667,12.043,0.472,21.242,1.667,6.687,0.472,29.626,0.435,12.958,0.454,38.79,0.435,13.486,0.454,31.063,0.231,11.727,0.287,72.731,0.435,34.4,0.824,64.25,3.917,26.102,3.667,80.364,0.213,46.118,0.225,48.699,0.275,17.189,0.387,41.985,0.525,15.99,0.525,60.393,0.525,27.086,0.525,41.421,0.412,18.675,0.262
31.164,0.231,11.928,0.167,32.001,0.231,8.182,0.167,32.751,2.009,11.96,0.528,20.824,2.009,6.806,0.528,30.091,0.324,13.019,0.481,38.725,0.324,13.298,0.481,31.111,0.287,11.56,0.389,72.097,0.435,34.071,0.852,62.642,3.741,25.472,3.574,79.601,0.138,45.945,0.262,48.228,0.188,17.119,0.325,42.1,0.463,16.018,0.712,60.667,0.463,27.174,0.712,41.118,0.387,18.607,0.213
30.547,0.278,11.829,0.333,31.598,0.278,7.882,0.333,33.054,1.648,12.023,0.454,20.91,1.648,6.63,0.454,29.833,0.259,12.849,0.426,38.567,0.259,13.416,0.426,31.367,0.306,11.447,0.37,71.275,0.417,33.691,0.843,61.739,4.009,25.059,3.398,78.819,0.188,45.61,0.188,47.39,0.25,17.012,0.25,41.977,0.475,16.017,0.4,60.502,0.475,27.146,0.4,40.858,0.463,18.601,0.325
