HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
10.396,0.52,6.703,0.955,5.274,0.388,15.819,0.447,16.763,1.781,18.952,1.249,12.794,0.355,22.32,0.292,14.866,0.389,13.319,0.35,13.031,0.35,7.666,0.192,13.286,0.938,13.629,0.938,23.126,1.246,16.66,0.807,21.326,0.807,28.231,0.256
8.484,0.487,6.99,1.107,5.406,0.409,14.143,0.529,15.636,1.771,17.365,1.076,12.662,0.366,22.195,0.313,14.845,0.412,13.095,0.306,12.771,0.306,7.568,0.183,13.194,0.963,13.474,0.963,22.335,1.039,16.82,0.683,21.067,0.683,27.021,0.238
8.504,0.478,7.006,1.062,5.426,0.396,13.921,0.803,15.425,1.457,16.824,1.062,11.975,0.35,21.661,0.321,14.364,0.34,12.939,0.35,12.475,0.35,7.446,0.197,13.045,1.016,13.35,1.016,22.05,1.004,16.643,0.737,21.054,0.737,26.608,0.219
8.38,0.517,6.946,1.025,5.343,0.435,13.996,0.816,15.483,1.522,16.937,0.968,11.626,0.376,21.374,0.274,14.079,0.377,12.501,0.303,12.327,0.303,7.311,0.183,12.753,0.928,13.221,0.928,22.047,1.004,16.644,0.681,20.963,0.681,26.186,0.242
8.316,0.569,6.858,0.986,5.226,0.382,14.012,0.908,15.488,1.418,16.705,0.922,11.35,0.337,21.067,0.279,13.85,0.352,12.285,0.285,11.997,0.285,7.034,0.215,12.453,1.019,12.9,1.019,21.974,1.068,16.334,0.709,20.897,0.709,25.88,0.287
8.225,0.534,6.777,1.018,5.159,0.386,14.064,0.726,15.64,1.3,16.745,1.071,11.017,0.387,20.95,0.324,13.654,0.324,11.938,0.31,11.613,0.31,6.861,0.183,12.171,0.998,12.695,0.998,21.939,1.093,16.324,0.763,20.808,0.763,25.787,0.223
8.05,0.544,6.679,1.016,5.033,0.38,14.156,0.858,15.623,1.291,16.845,1.011,10.838,0.366,20.692,0.279,13.591,0.35,11.646,0.303,11.169,0.303,6.646,0.225,11.789,1.039,12.395,1.039,21.92,1.066,16.192,0.689,20.74,0.689,25.619,0.25
7.926,0.513,6.631,1,4.994,0.374,14.038,0.837,15.54,1.289,16.881,1.032,10.605,0.342,20.416,0.345,13.408,0.382,11.235,0.289,10.779,0.289,6.494,0.204,11.428,1.053,12.212,1.053,21.657,0.99,15.994,0.756,20.618,0.756,25.013,0.262
7.782,0.493,6.533,1.076,4.895,0.427,13.789,0.905,15.25,1.27,16.43,1.051,10.327,0.371,20.456,0.289,13.21,0.338,10.944,0.303,10.427,0.303,6.292,0.155,11.309,1.053,11.916,1.053,21.447,1.05,15.892,0.722,20.426,0.722,24.607,0.236
7.683,0.433,6.458,1.041,4.794,0.341,13.546,0.876,15.009,1.231,16.13,1.016,10.077,0.361,20.224,0.268,13.268,0.34,10.715,0.296,10.216,0.296,6.151,0.201,11.183,1.005,11.724,1.005,20.996,0.988,15.683,0.678,20.209,0.678,23.638,0.231
