Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
31.356,0.114,46.684,0.076,34.094,0.042,28.13,0.042,29.84,0.042,19.487,0.146,14.876,0.146,20.153,0.146,21.847,0.167,22.565,0.042,47.543,0.833,40.589,0.833,30.417,0.194,25.928,0.194,17.422,0.163
30.604,0.152,46.426,0.205,34.12,0.083,27.475,0.083,30.84,0.083,19.699,0.125,15.876,0.125,20.121,0.083,21.844,0.208,23.716,0.312,47.37,0.667,41.589,0.667,30.222,0.13,26.928,0.13,17.43,0.163
30.334,0.114,46.01,0.098,33.86,0.083,27.143,0.083,30.27,0.083,19.454,0.083,15.761,0.083,19.887,0.125,21.854,0.208,22.949,0.229,46.914,0.889,40.605,0.889,30.357,0.176,27.339,0.176,17.097,0.143
29.87,0.114,45.505,0.114,33.69,0.062,26.783,0.062,29.592,0.062,19.359,0.021,15.455,0.021,19.794,0.104,21.322,0.208,23.516,0.146,46.224,0.759,39.79,0.759,30.235,0.167,27.598,0.167,17.188,0.102
29.997,0.068,45.529,0.076,33.5,0.167,26.471,0.167,29.29,0.167,19.458,0.083,15.307,0.083,19.464,0.167,22.494,0.229,23.885,0.125,45.783,0.759,39.85,0.759,30.308,0.204,27.889,0.204,16.931,0.184
29.636,0.129,45.049,0.136,32.995,0.167,25.784,0.167,28.888,0.167,19.297,0.083,15.155,0.083,19.284,0.104,22.493,0.167,24.157,0.083,45.544,0.722,39.377,0.722,30.36,0.259,28.255,0.259,16.869,0.265
29.174,0.144,42.417,0.144,33.12,0.104,25.491,0.104,28.561,0.104,19.17,0.104,14.945,0.104,19.132,0.167,22.289,0.229,24.597,0.083,44.438,0.704,39.554,0.704,30.086,0.148,28.507,0.148,16.633,0.143
28.894,0.098,44.987,0.061,33.352,0.042,25.378,0.042,27.9,0.042,19.253,0.146,14.783,0.146,18.816,0.125,22.314,0.208,25.174,0.062,43.462,0.778,39.561,0.778,30.097,0.111,28.4,0.111,16.378,0.061
28.475,0.098,44.466,0.091,32.949,0.104,24.73,0.104,27.753,0.104,18.795,0.125,14.543,0.125,18.554,0.104,22.019,0.167,25.032,0.188,43.086,0.602,39.141,0.602,29.652,0.093,28.309,0.093,16.256,0.163
19.314,0.129,43.951,0.114,32.55,0.125,24.115,0.125,27.172,0.125,18.775,0.167,14.219,0.167,18.376,0.104,21.553,0.104,25.051,0.188,42.533,0.574,38.814,0.574,29.738,0.204,28.532,0.204,15.6,0.082
