kl-3_1-405,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-405,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-405,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-405,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-405,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-405,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-405,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-405,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-405,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-405,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-405,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-405,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-405,kl-3_13-BG,kl-3_13-568,kl-3_13-BG
7.761,0.314,8.011,0,4.914,0.271,6.418,0,11.348,0.1,92.039,0,10.757,0.1,84.505,0,26.954,0.143,95.529,0,50.92,0.614,146.376,0.114,7.348,0.614,11.956,0.114,5.054,0.286,13.09,0.041,33.425,0.286,94.89,0.041,35.719,0.486,80.607,0.014,41.683,0.069,108.284,0,31.493,0.034,95.599,0.603,36.04,0.034,96.611,0.603
13.748,0.229,17.929,0,29.534,0.157,43.155,0.031,11.207,0.071,92.241,0,10.775,0.071,85.248,0,27.832,0.214,97.435,0,52.42,0.543,149.637,0.114,7.351,0.543,12.464,0.114,12.718,0.449,34.778,0.041,33.818,0.449,97.582,0.041,37.445,0.417,84.668,0.014,40.759,0.069,106.285,0,31.651,0.023,96.828,0.603,35.861,0.023,97.392,0.603
17.107,0.343,23.298,0,32.647,0.214,46.733,0.062,11.495,0.129,92.841,0.029,11.01,0.129,84.596,0.029,28.005,0.071,98.288,0.014,51.511,0.614,149.584,0.071,7.486,0.614,13.552,0.071,15.435,0.633,41.562,0.061,33.093,0.633,96.468,0.061,37.119,0.375,84.664,0,40.481,0.125,106.03,0.028,31.454,0.011,97.367,0.577,35.96,0.011,98.216,0.577
17.325,0.243,23.724,0,34.369,0.1,49.696,0,11.105,0.143,91.593,0.014,10.567,0.143,85.546,0.014,27.831,0.157,98.605,0,51.128,0.514,146.916,0.1,8.29,0.514,15.583,0.1,18.009,0.551,49,0.061,33.109,0.551,94.889,0.061,36.949,0.486,84.242,0.028,40.532,0.125,106.719,0,31.591,0.057,97.473,0.859,34.801,0.057,94.207,0.859
17.223,0.2,23.289,0.014,35.574,0.129,51.235,0,10.98,0.114,92.6,0.014,10.691,0.114,84.935,0.014,27.864,0.071,97.889,0,50.617,0.657,146.978,0.043,8.591,0.657,17.249,0.043,17.345,0.367,48.132,0.041,32.982,0.367,96.656,0.041,34.5,0.278,78.489,0,39.64,0.208,105.644,0,31.138,0.068,97.299,0.526,31.933,0.068,83.701,0.526
17.807,0.243,23.613,0,35.204,0.2,49.457,0,10.743,0.1,91.643,0.029,10.497,0.1,84.226,0.029,27.242,0.257,96.924,0.014,50.309,0.457,147.425,0.129,9.992,0.457,21.867,0.129,18.144,0.571,51.7,0.082,33.455,0.571,98.613,0.082,36.272,0.403,83.944,0.014,38.8,0.139,103.077,0,31.359,0.034,97.103,0.692,31.172,0.034,82.83,0.692
16.748,0.171,22.221,0,35.62,0.1,49.713,0,10.795,0.129,90.341,0,10.345,0.129,83.406,0,26.876,0.171,95.868,0.029,49.649,0.571,145.467,0.114,11.445,0.571,26.646,0.114,19.294,0.531,54.021,0.061,33.62,0.531,98.868,0.061,35.61,0.278,83.076,0,38.17,0.097,102.936,0.028,30.701,0.045,96.674,0.513,35.03,0.045,96.255,0.513
17.224,0.157,22.644,0.014,34.439,0.229,49.176,0.031,10.316,0.057,89.036,0.029,9.984,0.057,82.493,0.029,26.252,0.114,94.88,0.014,48.304,0.486,144.097,0.043,10.986,0.486,24.215,0.043,17.279,0.776,47.862,0.102,30.563,0.776,92.293,0.102,34.736,0.292,80.859,0,37.356,0.111,101.27,0.028,30.706,0.034,96.493,0.628,36.007,0.034,99.468,0.628
15.652,0.143,20.578,0.014,33.905,0.1,45.995,0,10.261,0.114,87.82,0,9.77,0.114,81.062,0,25.838,0.171,93.448,0,48.103,0.571,144.519,0.071,11.064,0.571,26.84,0.071,18.784,0.429,53.538,0.041,32.951,0.429,100.569,0.041,17.966,0.264,37.96,0.028,36.461,0.111,98.416,0.014,30.198,0.034,95.852,0.615,36.396,0.034,100.149,0.615
14.916,0.214,19.222,0,29.816,0.129,38.293,0,9.868,0.129,86.909,0.014,9.767,0.129,80.217,0.014,25.213,0.143,92.211,0,46.669,0.486,141.988,0.157,11.188,0.486,27.343,0.157,20.787,0.551,60.955,0.122,33.246,0.551,100.657,0.122,31.981,0.306,76.644,0,36.282,0.153,98.055,0.014,30.357,0,96.09,0.359,35.837,0,99.268,0.359
15.422,0.214,20.243,0,33.867,0.229,48.812,0,9.761,0.129,85.855,0,9.521,0.129,79.925,0,24.55,0.171,91.147,0,46.177,0.4,141.922,0.029,12.334,0.4,31.03,0.029,19.153,0.449,58.622,0.02,32.604,0.449,99.113,0.02,33.774,0.208,80.233,0,36.255,0.069,98.755,0.014,30.459,0.057,96.559,0.59,35.371,0.057,99.58,0.59
15.709,0.157,20.911,0.014,32.942,0.086,48.521,0,9.802,0.029,86.434,0,9.689,0.029,79.471,0,24.647,0.143,91.615,0.043,45.376,0.457,140.824,0.086,11.381,0.457,28.666,0.086,16.916,0.673,50.658,0.041,31.468,0.673,97.607,0.041,33.075,0.222,79.447,0,36.369,0.097,99.287,0,30.094,0.08,96.138,0.436,35.231,0.08,98.816,0.436
15.41,0.157,21.007,0.014,32.669,0.157,48.699,0,9.516,0.157,86.62,0,9.272,0.157,78.979,0,24.592,0.214,91.048,0,45.212,0.614,141.27,0.143,12.483,0.614,32.155,0.143,16.919,0.592,50.105,0.061,30.15,0.592,94.459,0.061,32.799,0.306,79.323,0,36.291,0.181,99.584,0.014,29.951,0.045,96.056,0.628,35.104,0.045,99.025,0.628
15.386,0.143,21.07,0,31.549,0.114,48.279,0.031,9.43,0.143,86.05,0,9.176,0.143,79.306,0,24.361,0.329,90.495,0.014,44.495,0.714,140.47,0.086,14.243,0.714,36.204,0.086,16.015,0.286,46.033,0.082,30.115,0.286,95.081,0.082,32.537,0.208,78.708,0,37.108,0.139,101.574,0,30.245,0.045,96.263,0.577,34.521,0.045,98.511,0.577
15.022,0.271,20.874,0.014,30.88,0.1,47.955,0,9.377,0.086,85.389,0.029,8.884,0.086,78.254,0.029,23.84,0.143,89.691,0,44.588,0.6,140.604,0.1,13.961,0.6,38.18,0.1,18.021,0.388,53.33,0.041,30.396,0.388,95.805,0.041,32.376,0.333,78.646,0,36.916,0.194,101.68,0,29.579,0.045,95.868,0.628,34.28,0.045,98.178,0.628
15.091,0.171,20.815,0,30.699,0.1,47.881,0,9.186,0.086,85.114,0,8.739,0.086,77.917,0,23.387,0.271,89.121,0,44.154,0.543,141.145,0.043,14.691,0.543,40.983,0.043,21.039,0.571,62.523,0.041,33.256,0.571,104.116,0.041,31.891,0.292,77.887,0,36.516,0.167,100.587,0,29.312,0.08,94.848,0.538,34.45,0.08,98.463,0.538
15.058,0.186,21.291,0,29.544,0.171,47.732,0,9.1,0.129,83.725,0,8.902,0.129,77.779,0,23.28,0.1,88.652,0,43.097,0.529,139.209,0.086,14.859,0.529,42.409,0.086,21.348,0.245,64.228,0.082,33.488,0.245,105.304,0.082,31.285,0.194,77.059,0.014,36.834,0.153,101.249,0.014,28.615,0.034,93.573,0.795,33.939,0.034,97.934,0.795
15.065,0.171,21.448,0.029,29.288,0.143,47.815,0.031,9.341,0.186,84.464,0.014,8.783,0.186,76.904,0.014,23.286,0.129,88.535,0,42.955,0.6,140.168,0.171,14.718,0.6,41.019,0.171,19.955,0.51,58.261,0.041,33.163,0.51,105.124,0.041,30.602,0.306,75.849,0,36.314,0.097,100.436,0,28.809,0.034,94.855,0.654,33.57,0.034,97.868,0.654
14.669,0.171,21.289,0,29.005,0.057,47.419,0.062,9.055,0.086,84.425,0,8.619,0.086,76.715,0,23.028,0.2,87.999,0.014,42.592,0.671,139.856,0.071,14.644,0.671,42.177,0.071,21.829,0.551,65.363,0.061,34.282,0.551,109.18,0.061,30.146,0.236,75.142,0.028,36.2,0.194,99.703,0.014,29,0.08,94.926,0.449,33.754,0.08,97.784,0.449
14.963,0.086,21.966,0.014,28.478,0.143,47.472,0,5.62,0.157,55.007,0,8.629,0.157,76.572,0,22.331,0.1,87.084,0.014,42.193,0.5,139.484,0.143,16.442,0.5,47.691,0.143,19.646,0.408,59.664,0.061,34.824,0.408,110.622,0.061,29.729,0.292,74.462,0.014,34.971,0.111,97.866,0,28.936,0.034,94.898,0.513,33.799,0.034,97.697,0.513
14.685,0.129,21.837,0,28.196,0.071,48.029,0,8.805,0.086,83.032,0.014,8.619,0.086,76.417,0.014,22.362,0.171,86.728,0,42.268,0.486,139.495,0.086,15.45,0.486,45.006,0.086,21.222,0.429,64.333,0.041,34.816,0.429,111.774,0.041,29.544,0.278,74.211,0,34.6,0.167,96.833,0,28.997,0.011,94.643,0.654,33.782,0.011,97.574,0.654
15.079,0.1,22.577,0,27.384,0.143,47.113,0,8.255,0.129,79.866,0,8.352,0.129,75.886,0,19.654,0.229,80.574,0,41.139,0.7,138.714,0.071,15.351,0.7,46.033,0.071,21.18,0.51,64.291,0.02,33.804,0.51,110.059,0.02,29.164,0.222,73.414,0,34.405,0.056,96.753,0,28.741,0.034,94.625,0.538,33.405,0.034,98.189,0.538
15.001,0.2,22.65,0,27.088,0.114,47.481,0,8.586,0.129,82.243,0,8.309,0.129,75.808,0,17.249,0.171,60.584,0.029,40.812,0.671,138.024,0.157,16.884,0.671,49.715,0.157,21.718,0.429,67.273,0.041,33.351,0.429,109.225,0.041,28.774,0.194,73.326,0,34.331,0.181,95.951,0.028,29.029,0.034,93.73,0.538,33.351,0.034,97.34,0.538
14.942,0.314,22.799,0.014,26.253,0.114,46.869,0,8.261,0.143,80.802,0.014,8.226,0.143,74.034,0.014,21.313,0.2,84.04,0.014,40.087,0.5,136.216,0.1,16.431,0.5,49.693,0.1,19.216,0.612,56.922,0.102,33.825,0.612,110.691,0.102,28.742,0.403,73.563,0,33.511,0.069,94.61,0,28.247,0.023,93.23,0.551,33.595,0.023,97.117,0.551
