kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG
15.193,0.375,66.66,0.014,18.078,0.375,78.504,0.014,5.586,0.069,25.018,0.014,4.44,0.069,24.912,0.014,33.721,0.069,69.401,0.014,25.463,0.056,66.703,0,35.629,0.056,80.7,0,8.645,0.125,45.935,0.014,14.741,1.431,58.187,0.042,24.848,1.431,68.275,0.042,14.805,0.583,48.284,0.014,10.679,0.583,43.642,0.014,26.725,2.7,73.167,0.011,21.949,2.7,71.832,0.011,25.307,2.7,95.573,0.011
14.71,0.25,66.465,0.028,18.132,0.25,78.02,0.028,5.44,0.125,24.75,0.028,4.363,0.125,25.322,0.028,33.672,0.097,69.869,0,25.39,0.083,67.04,0.028,35.811,0.083,80.563,0.028,8.849,0.083,46.563,0.014,14.673,1.597,57.726,0,25.106,1.597,69.366,0,14.633,0.306,47.771,0.014,10.458,0.306,43.964,0.014,25.98,2.411,72.186,0.056,22.085,2.411,73.146,0.056,24.485,2.411,95.415,0.056
14.793,0.361,66.332,0.028,17.854,0.361,78.325,0.028,5.464,0.083,25.521,0,4.536,0.083,24.123,0,33.608,0.069,69.522,0.014,25.692,0.069,66.557,0.028,35.65,0.069,80.942,0.028,8.695,0.139,46.469,0,14.6,1.236,57.516,0.014,25.026,1.236,69.877,0.014,14.763,0.583,48.548,0,10.321,0.583,43.797,0,25.797,3.089,72.765,0.044,21.737,3.089,72.021,0.044,23.987,3.089,93.079,0.044
14.5,0.306,66.254,0,17.938,0.306,78.803,0,5.313,0.153,24.741,0.014,4.36,0.153,24.897,0.014,33.644,0.083,69.601,0.014,25.177,0.083,66.673,0.056,35.661,0.083,80.794,0.056,8.596,0.139,46.748,0,14.768,1.431,57.829,0.014,24.751,1.431,69.343,0.014,14.927,0.111,48.4,0.028,9.935,0.111,42.717,0.028,25.078,2.689,71.781,0.033,14.801,2.689,57.029,0.033,23.372,2.689,91.724,0.033
14.491,0.319,66.378,0,18.139,0.319,79.119,0,5.498,0.125,25.266,0,4.266,0.125,24.443,0,33.375,0.083,69.703,0,25.428,0.069,66.841,0.028,35.452,0.069,80.633,0.028,8.709,0.097,46.337,0,14.876,1.347,57.325,0,24.586,1.347,69.589,0,14.511,0.458,47.082,0,8.34,0.458,35.447,0,20.039,2.544,62.717,0.011,19.984,2.544,65.678,0.011,23.463,2.544,92.941,0.011
14.062,0.264,65.924,0,17.905,0.264,78.818,0,5.399,0.042,24.906,0,4.401,0.042,24.933,0,33.795,0.083,69.219,0.028,25.24,0.097,67.111,0,35.577,0.097,80.538,0,8.389,0.097,45.523,0,14.866,1.069,57.94,0,24.414,1.069,69.428,0,14.675,0.625,48.364,0.014,10.012,0.625,42.089,0.014,21.185,2.389,54.505,0.033,21.681,2.389,72,0.033,22.944,2.389,92.442,0.033
14.149,0.306,65.845,0.014,18.289,0.306,78.468,0.014,5.248,0.139,25.642,0,4.476,0.139,25.423,0,33.335,0.097,69.607,0.014,25.094,0.083,66.891,0,35.609,0.083,80.459,0,8.643,0.042,45.684,0,14.939,1.292,57.726,0.014,24.461,1.292,69.517,0.014,12.546,0.514,43.61,0.028,9.762,0.514,42.466,0.028,25.091,2.5,71.469,0.044,21.612,2.5,71.527,0.044,22.803,2.5,92.795,0.044
14.118,0.292,65.515,0,18.175,0.292,78.158,0,5.266,0.125,24.843,0.014,4.396,0.125,24.959,0.014,33.418,0.056,69.549,0,25.121,0.125,66.925,0.028,35.421,0.125,80.562,0.028,8.691,0.097,45.891,0,15.023,1.444,58.21,0.028,24.28,1.444,69.137,0.028,10.882,0.625,35.497,0,9.63,0.625,41.682,0,24.205,2.289,71.313,0,21.287,2.289,71.846,0,23.02,2.289,91.813,0
13.813,0.347,65.337,0,18.416,0.347,78.992,0,5.283,0.125,25.405,0,4.663,0.125,26.551,0,33.087,0.194,69.703,0,24.979,0.111,67.256,0.014,35.343,0.111,80.585,0.014,8.648,0.194,45.857,0,15.025,1.139,58.554,0.014,24.254,1.139,69.771,0.014,14.455,0.5,47.384,0.014,9.475,0.5,41.328,0.014,24.617,2.4,70.781,0.022,21.753,2.4,72.556,0.022,22.558,2.4,90.329,0.022
13.887,0.278,64.992,0.014,17.99,0.278,78.298,0.014,5.203,0.167,24.771,0,4.56,0.167,26.056,0,33.207,0.097,70.162,0.028,24.753,0.125,66.947,0.042,35.349,0.125,80.722,0.042,8.692,0.069,45.837,0,15.015,1.347,57.721,0.028,24.262,1.347,69.548,0.028,14.577,0.514,48.673,0.014,9.247,0.514,40.931,0.014,24.473,2.3,70.412,0.044,21,2.3,71.221,0.044,22.646,2.3,92.345,0.044
