G6Pdh_KK_1-405,G6Pdh_KK_1-BG,G6Pdh_KK_1-568,G6Pdh_KK_1-BG,G6Pdh_KK_2-405,G6Pdh_KK_2-BG,G6Pdh_KK-568,G6Pdh_KK-BG,G6Pdh_KK-405,G6Pdh_KK-BG,G6Pdh_KK_3-568,G6Pdh_KK_3-BG,G6Pdh_KK_4-405,G6Pdh_KK_4-BG,G6Pdh_KK_4-568,G6Pdh_KK_4-BG,G6Pdh_KK_5-405,G6Pdh_KK_5-BG,G6Pdh_KK_5-568,G6Pdh_KK_5-BG,G6Pdh_KK_6-405,G6Pdh_KK_6-BG,G6Pdh_KK_6-568,G6Pdh_KK_6-BG,G6Pdh_KK_7-405,G6Pdh_KK_7-BG,G6Pdh_KK_7-568,G6Pdh_KK_7-BG,G6Pdh_KK_8-405,G6Pdh_KK_8-BG,G6Pdh_KK_8-568,G6Pdh_KK_8-BG,G6Pdh_KK_9-405,G6Pdh_KK_9-BG,G6Pdh_KK_9-568,G6Pdh_KK_9-BG,G6Pdh_KK_10-405,G6Pdh_KK_10-BG,G6Pdh_KK_10-568,G6Pdh_KK_10-BG,G6Pdh_KK_11-405,G6Pdh_KK_11-BG,G6Pdh_KK_11-568,G6Pdh_KK_11-BG,G6Pdh_KK_12-405,G6Pdh_KK_12-BG,G6Pdh_KK_12-568,G6Pdh_KK_12-BG,G6Pdh_KK_13-405,G6Pdh_KK_13-BG,G6Pdh_KK_13-568,G6Pdh_KK_13-BG,G6Pdh_KK_11-405,G6Pdh_KK_14-BG,G6Pdh_KK_14-568,G6Pdh_KK_14-BG,G6Pdh_KK_12-405,G6Pdh_KK_15-BG,G6Pdh_KK_15-568,G6Pdh_KK_15-BG,G6Pdh_KK_16-405,G6Pdh_KK_16-BG,G6Pdh_KK_16-568,G6Pdh_KK_16-BG,G6Pdh_KK_17-405,G6Pdh_KK_17-BG,G6Pdh_KK_17-568,G6Pdh_KK_17-BG
38.198,0.367,61.564,0.02,44.581,0.082,66.699,0,34.8,0.286,120.341,0.02,17.15,0.204,56.993,0,23.422,0.204,77.36,0,41.915,0.179,123.002,0.036,47.262,0.196,165.237,0.089,41.59,0.196,143.353,0.089,13.003,0.333,44.2,0,3.704,0.018,8.174,0.033,7.255,0.018,11.565,0.033,31.06,0.033,52.295,0,30.674,0.033,72.052,0,25.856,0.067,78.877,0.033,22.411,0.067,66.182,0.033,74.728,0.2,132.53,0.067,63.537,0.2,97.466,0.067
45.713,0.367,73.885,0.02,41.281,0.204,62.724,0,34.843,0.408,121.074,0.02,17.643,0.347,60.376,0,23.472,0.347,79.438,0,42.958,0.25,128.885,0.036,46.452,0.214,164.528,0.089,44.601,0.214,154.97,0.089,13.768,0.2,45.603,0,3.886,0,8.662,0.033,7.667,0,12.253,0.033,30.749,0.133,52.688,0,29.872,0.133,71.69,0,24.614,0.167,78.42,0.033,21.732,0.167,65.902,0.033,76.057,0.133,134.543,0.067,74.052,0.133,125.475,0.067
45.733,0.347,72.654,0,47.188,0.204,68.155,0.02,34.591,0.327,121.046,0,18.519,0.408,62.626,0,23.817,0.408,80.138,0,42.489,0.214,128.233,0,45.04,0.321,163.07,0.125,44.316,0.321,154.096,0.125,13.725,0.1,45.545,0,3.747,0,8.328,0.1,7.504,0,12.228,0.1,30.012,0.167,52.089,0,29.446,0.167,71.094,0,24.109,0.1,78.38,0,21.28,0.1,65.751,0,75.264,0.067,135.243,0,70.074,0.067,123.526,0
45.875,0.224,72.492,0,47.14,0.163,67.244,0,34.67,0.408,121.335,0,19.663,0.51,65.173,0,24.105,0.51,81.105,0,42.143,0.232,127.722,0,44.92,0.321,162.828,0.143,43.607,0.321,152.794,0.143,13.895,0.467,45.666,0,3.816,0,8.472,0,7.745,0,12.311,0,21.796,0.1,41.02,0,28.621,0.1,70.501,0,23.63,0.167,78.111,0.033,20.792,0.167,64.971,0.033,74.615,0.167,134.325,0,71.8,0.167,122.659,0
45.731,0.367,71.271,0.02,46.978,0.204,66.566,0,34.29,0.388,120.702,0.041,19.468,0.449,65.794,0,23.215,0.449,78.571,0,41.912,0.161,128.689,0.036,45.06,0.393,162.21,0.107,44.926,0.393,150.84,0.107,13.8,0.1,45.831,0,4.233,0,9.674,0.033,7.706,0,12.453,0.033,29.18,0.2,51.147,0,20.272,0.2,47.217,0,22.986,0.167,78.11,0,20.26,0.167,64.154,0,73.886,0.133,134.058,0,69.156,0.133,119.574,0
45.64,0.245,70.89,0,46.808,0.102,66.09,0.02,33.746,0.306,119.298,0.02,19.421,0.551,65.565,0,23.139,0.551,78.283,0,41.384,0.179,128.761,0.018,44.28,0.196,162.851,0.089,43.857,0.196,149.143,0.089,14.032,0.3,46.33,0,4.579,0.071,10.325,0,7.743,0.071,12.683,0,29.766,0.133,52.09,0,27.704,0.133,69.236,0,22.638,0.033,77.315,0,19.991,0.033,64.634,0,73.452,0.1,133.069,0,70.277,0.1,122.991,0
45.464,0.245,70.273,0,46.342,0.082,65.544,0.02,32.587,0.51,117.918,0.041,19.684,0.449,66.396,0.082,23.777,0.449,79.631,0.082,41.234,0.196,127.867,0.054,44.059,0.304,162.547,0.089,43.221,0.304,147.751,0.089,14.37,0.167,47.005,0,4.681,0,11.057,0.067,8.031,0,13.207,0.067,27.556,0.167,51.039,0.1,27.221,0.167,68.704,0.1,22.336,0.033,76.512,0.033,19.53,0.033,63.882,0.033,73.108,0.2,133.694,0.033,68.272,0.2,119.514,0.033
45.503,0.245,70.234,0.02,45.449,0.143,64.732,0.02,31.962,0.347,115.476,0.041,19.6,0.551,67.048,0.02,23.184,0.551,80.244,0.02,40.612,0.179,128.83,0.054,42.394,0.107,159.293,0.071,42.908,0.107,147.294,0.071,14.443,0.2,47.004,0,4.859,0,11.382,0,8.221,0,13.461,0,29.471,0.1,52.523,0,26.536,0.1,67.217,0,21.961,0.133,76.501,0,19.22,0.133,63.032,0,73.281,0.033,133.734,0,69.073,0.033,122.13,0
45.206,0.265,69.843,0.02,45.035,0.245,64.715,0,31.374,0.327,114.986,0.041,19.397,0.531,66.507,0,22.929,0.531,78.713,0,39.649,0.214,126.345,0.036,41.771,0.161,158.979,0.054,42.617,0.161,146.909,0.054,14.749,0.233,47.188,0,4.802,0,11.145,0.033,8.114,0,13.465,0.033,28.941,0.133,51.868,0.067,26.033,0.133,66.223,0.067,21.528,0.1,75.423,0,18.685,0.1,62.115,0,73.044,0.2,133.089,0,68.079,0.2,121.786,0
44.793,0.367,69.228,0.02,44.622,0.061,64.785,0.02,30.647,0.306,112.394,0.061,18.978,0.551,65.325,0.02,22.129,0.551,77.221,0.02,38.496,0.143,123.961,0.018,41.109,0.286,158.707,0.071,41.993,0.286,147.328,0.071,14.79,0.067,47.194,0,5.048,0,11.705,0.033,8.32,0,13.91,0.033,28.591,0.2,51.795,0,25.403,0.2,65.681,0,21.186,0.1,74.916,0,18.723,0.1,60.619,0,72.884,0.133,133.926,0.033,68.468,0.133,122.386,0.033
44.603,0.204,69.364,0,44.12,0.041,64.799,0.02,29.744,0.347,111.79,0.082,19.089,0.755,66.636,0.041,21.983,0.755,77.29,0.041,38.105,0.125,123.757,0.071,39.162,0.161,153.482,0.071,41.65,0.161,147.756,0.071,14.679,0.3,47.226,0,4.994,0.018,11.771,0,8.194,0.018,13.921,0,28.186,0,51.152,0,24.854,0,65.036,0,20.716,0.1,74.021,0,18.157,0.1,60.533,0,73.209,0.167,134.466,0.033,69.225,0.167,124.339,0.033
43.014,0.184,67.691,0,42.532,0.245,63.351,0,30.026,0.388,113.371,0.041,18.547,0.49,65.492,0.02,21.418,0.49,76.624,0.02,37.918,0.143,124.913,0.018,39.888,0.268,157.947,0.071,41.563,0.268,147.604,0.071,14.702,0.133,47.282,0,4.953,0,11.906,0.1,8.103,0,13.947,0.1,27.824,0.067,50.803,0,24.366,0.067,63.602,0,20.135,0.1,73.491,0,17.802,0.1,59.198,0,72.968,0.167,134.216,0,69.373,0.167,124.784,0
42.124,0.163,67.18,0.02,41.731,0.184,62.558,0.041,30.01,0.388,112.429,0,18.294,0.429,65.478,0.041,21.164,0.429,75.851,0.041,37.038,0.125,123.418,0.018,39.756,0.304,156.929,0.054,41.518,0.304,147.559,0.054,14.74,0.033,47.17,0,4.971,0,11.992,0.067,8.137,0,14.043,0.067,27.519,0.133,50.893,0.033,24.392,0.133,63.64,0.033,20.035,0,73.352,0,17.386,0,58.844,0,72.974,0.167,134.013,0,69.249,0.167,124.265,0
41.371,0.204,66.883,0.02,40.452,0.204,62.067,0,29.625,0.286,112.083,0.02,18.57,0.469,66.486,0,20.935,0.469,75.812,0,37.186,0.196,123.093,0.018,38.897,0.214,156.479,0.089,41.09,0.214,146.841,0.089,14.913,0.1,47.345,0,4.941,0,12.131,0,8.184,0,14.274,0,27.414,0.133,50.742,0,23.914,0.133,63.382,0,19.713,0.1,72.661,0,17.396,0.1,59.287,0,73.559,0.167,134.173,0,69.094,0.167,124.926,0
40.681,0.143,66.323,0.02,39.51,0.224,61.749,0,28.792,0.347,111.42,0.041,18.683,0.571,66.313,0.02,20.918,0.571,76.248,0.02,36.809,0.214,123.079,0,38.734,0.304,156.221,0.071,41.12,0.304,146.587,0.071,14.81,0.2,47.414,0,5.055,0.036,12.289,0,8.148,0.036,14.263,0,27.177,0.067,50.515,0,24.146,0.067,63.424,0,19.774,0.067,72.42,0,17.561,0.067,58.457,0,72.991,0.133,134.493,0,68.774,0.133,124.463,0
