6-Pgd_KK_1-405,6-Pgd_KK_1-BG,6-Pgd_KK_1-568,6-Pgd_KK_1-BG,6-Pgd_KK_2-405,6-Pgd_KK_2-BG,6-Pgd_KK_2-568,6-Pgd_KK_2-BG,6-Pgd_KK_3-405,6-Pgd_KK_3-BG,6-Pgd_KK_3-568,6-Pgd_KK_3-BG,6-Pgd_KK_4-405,6-Pgd_KK_4-BG,6-Pgd_KK_4-568,6-Pgd_KK_4-BG,6-Pgd_KK_5-405,6-Pgd_KK_5-BG,6-Pgd_KK_5-568,6-Pgd_KK_5-BG,6-Pgd_KK_6-405,6-Pgd_KK_6-BG,6-Pgd_KK_6-568,6-Pgd_KK_6-BG,6-Pgd_KK_7-405,6-Pgd_KK_7-BG,6-Pgd_KK_7-568,6-Pgd_KK_7-BG,6-Pgd_KK_8-405,6-Pgd_KK_8-BG,6-Pgd_KK_8-568,6-Pgd_KK_8-BG,6-Pgd_KK_9-405,6-Pgd_KK_9-BG,6-Pgd_KK_9-568,6-Pgd_KK_9-BG,6-Pgd_KK_10-405,6-Pgd_KK_10-BG,6-Pgd_KK_10-568,6-Pgd_KK_10-BG,6-Pgd_KK_11-405,6-Pgd_KK_11-BG,6-Pgd_KK_11-568,6-Pgd_KK_11-BG,6-Pgd_KK_12-405,6-Pgd_KK_12-BG,6-Pgd_KK_12-568,6-Pgd_KK_12-BG,6-Pgd_KK_13-405,6-Pgd_KK_13-BG,6-Pgd_KK_13-568,6-Pgd_KK_13-BG,6-Pgd_KK_14-405,6-Pgd_KK_14-BG,6-Pgd_KK_14-568,6-Pgd_KK_14-BG,6-Pgd_KK_15-405,6-Pgd_KK_15-BG,6-Pgd_KK_15-568,6-Pgd_KK_15-BG,6-Pgd_KK_16-405,6-Pgd_KK_16-BG,6-Pgd_KK_16-568,6-Pgd_KK_16-BG,6-Pgd_KK_17-405,6-Pgd_KK_17-BG,6-Pgd_KK_17-568,6-Pgd_KK_17-BG,6-Pgd_KK_18-405,6-Pgd_KK_18-BG,6-Pgd_KK_18-568,6-Pgd_KK_18-BG
25.412,0.657,31.745,0,14.673,0.2,21.719,0,26.111,0.086,81.943,0,16.815,0.086,62.586,0,26.397,0.057,86.474,0,18.286,0.057,41.858,0,19.064,0.13,53.738,0.013,30.961,1.167,69.663,0.095,17.87,1.167,45.757,0.095,30.721,1,69.144,0.086,25.284,1,62.905,0.086,25.967,0,60.249,0,21.554,0,58.396,0,28.309,0,72.002,0.056,43.942,0,97.368,0.014,37.389,0,68.76,0.042,63.193,0,139.25,0.042,50.522,0,113.236,0.042
38.319,0.4,54.334,0,27.219,0.286,39.129,0,26.149,0.114,82.269,0,16.788,0.114,61.35,0,26.57,0.143,87.548,0,18.343,0.171,42.137,0,18.906,0.143,52.815,0.013,31.608,1.381,70.529,0.095,17.926,1.381,46.435,0.071,30.454,1,69.491,0.171,25.328,1,63.614,0.171,31.877,0,82.802,0.028,21.353,0,58.983,0.028,28.193,1,72.189,0.042,43.58,0,97.428,0.014,39.441,0,73.811,0.042,61.994,0,137.495,0.042,48.691,0,110.735,0.042
42.887,0.286,57.766,0,27.062,0.171,37.647,0.029,26.324,0.143,81.937,0.029,16.994,0.143,61.874,0.029,26.546,0.029,87.214,0,18.406,0.029,43.103,0,18.678,0.091,52.578,0.019,31.519,1.357,70.69,0.071,18.067,1.357,46.438,0.119,29.676,1,68.744,0.086,25.329,1,64.56,0.086,31.182,0,82.425,0.014,20.978,0,58.531,0.014,28.463,1,72.519,0,43.622,0,96.507,0,38.795,0,72.524,0.056,61.242,0,138.076,0.056,48.139,0,110.393,0.056
45.598,0.4,60.369,0.029,26.368,0.114,37.01,0,26.213,0.114,81.376,0,16.818,0.114,62.457,0,26.515,0.086,87.422,0,18.303,0.143,43.022,0.029,18.264,0.11,52.525,0.019,31.793,1.452,70.618,0.119,18.219,1.452,46.694,0,28.734,0,68.467,0.029,24.867,0,63.593,0.029,30.782,0,81.884,0,20.639,0,58.212,0,28.547,0,73.093,0.028,43.709,0,96.014,0.014,38.746,0,74.301,0.028,59.733,0,137.674,0.028,47.532,0,109.96,0.028
47.873,0.2,63.718,0.086,25.894,0.314,36.239,0,25.754,0.114,80.949,0,16.56,0.114,61.78,0,26.07,0.114,87.059,0,17.529,0.171,41.473,0,18.285,0.117,52.202,0,31.51,1.167,70.491,0,18.081,1.167,46.657,0.048,28.994,1,67.989,0.114,24.885,1,63.521,0.114,17.04,0,48.81,0.028,18.444,0,51.393,0.028,28.49,1,73.461,0.042,43.217,0,96.206,0.042,39.394,0,74.559,0.056,59.135,0,137.99,0.056,46.906,0,109.529,0.056
46.879,0.171,62.754,0.029,25.388,0.171,35.591,0,25.423,0.086,79.516,0,16.409,0.086,60.774,0,25.684,0.114,85.599,0,17.85,0.114,41.93,0,18.008,0.117,51.969,0.006,31.517,1.405,70.686,0.048,18.335,1.405,46.668,0.143,28.276,1,68.285,0.143,24.655,1,63.877,0.143,20.41,0,62.825,0,5.251,0,9.62,0,28.408,0,74.012,0.028,43.054,0,96.125,0.069,39.212,0,76.091,0.042,58.632,0,136.088,0.042,46.349,0,108.919,0.042
45.65,0.2,60.508,0.029,25.46,0.114,35.104,0.029,25.013,0.257,79.133,0,16.139,0.257,59.84,0,24.735,0.143,84.152,0,11.891,0.229,30.025,0,17.793,0.13,51.504,0,31.813,1.476,71.053,0.143,17.867,1.476,46.984,0.095,27.347,0,67.454,0.229,24.491,0,63.565,0.229,29.273,0,79.282,0,19.887,0,57.264,0,28.71,0,74.592,0.042,43.003,0,95.776,0,39.324,0,76.061,0.028,58.536,0,137.567,0.028,45.592,0,108.574,0.028
46.201,0.171,61.344,0.029,25.206,0.143,35.016,0,24.165,0.143,77.403,0.029,15.664,0.143,58.503,0.029,23.914,0.057,81.942,0,17.66,0.2,42.137,0,17.634,0.084,51.019,0,32.242,1,72.17,0.095,18.031,1,46.862,0.095,27.476,1,66.596,0.171,16.393,1,37.576,0.171,28.545,0,78.061,0,20.081,0,56.961,0,28.788,0,74.342,0.028,42.699,0,95.744,0.028,38.914,0,76.51,0.042,57.368,0,137.271,0.042,45.593,0,108.378,0.042
46.124,0.171,61.512,0,24.992,0.057,35.344,0,23.573,0.114,77.318,0,15.402,0.114,58.225,0,23.562,0.057,81.803,0,17.335,0.114,41.99,0,17.638,0.084,50.937,0.006,32.148,1.119,72.055,0.095,18.419,1.119,47.068,0.214,26.501,1,65.881,0.057,22.022,1,58.314,0.057,27.811,0,77.428,0,19.997,0,58.217,0,28.552,0,73.976,0.028,42.18,0,95.022,0,39.441,0,77.256,0.056,57.212,0,136.94,0.056,44.746,0,106.836,0.056
44.719,0.371,59.736,0,24.167,0.171,34.81,0,23.108,0.114,75.219,0,14.899,0.114,57.395,0,22.523,0.2,79.184,0,17.375,0.114,42.241,0,17.493,0.123,50.936,0.006,32.516,1.429,72.084,0.214,18.107,1.429,47.484,0.048,26.732,0,65.031,0.171,23.617,0,62.87,0.171,27.806,0,77.648,0,19.639,0,55.923,0,28.158,0,73.6,0.014,42.826,0,95.368,0.042,39.21,0,77.716,0,56.68,0,136.146,0,44.378,0,106.25,0
