Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG
5.304,0.467,30.585,0,8.575,0.467,32.449,0,23.967,0.333,92.881,0.033,16.323,0.333,80.23,0.033,47.592,0,186.252,0.033,50.676,0,170.525,0.033,19.425,0,97.496,0,18.568,0,92.371,0,19.181,0.967,51.647,0.033,41.918,0.033,114.119,0,40.939,0.033,106.889,0,14.148,0.1,51.74,0,21.334,0.1,74.459,0,15.376,0.054,88.04,0
5.476,0.267,30.428,0.033,8.478,0.267,32.267,0.033,24.194,0.2,93.214,0,16.352,0.2,80.449,0,48.061,0.033,187.247,0,50.651,0.033,170.466,0,18.207,0.067,95.403,0.033,17.758,0.067,91.027,0.033,18.772,0.967,51.325,0,42.094,0.067,113.874,0,41.444,0.067,107.098,0,14.389,0.067,51.682,0,22.003,0.067,74.615,0,15.618,0.089,89.691,0
5.267,0.267,30.355,0,8.463,0.267,32.28,0,23.957,0.167,92.711,0,16.178,0.167,80.088,0,48.736,0.167,188.601,0.033,50.74,0.167,171.123,0.033,16.77,0.1,95.705,0,17.371,0.1,91.932,0,18.553,1.467,51.039,0,41.678,0.133,113.568,0,41.602,0.133,106.728,0,14.046,0.1,50.431,0,21.424,0.1,74.004,0,15.875,0.071,91.583,0.018
5.245,0.333,30.33,0,8.303,0.333,32.275,0,23.929,0.4,93.18,0,16.151,0.4,80.005,0,48.357,0.067,188.511,0.033,50.547,0.067,170.806,0.033,16.277,0.067,97.147,0,17.256,0.067,94.053,0,18.106,1.4,50.9,0,41.53,0.033,114.253,0,40.85,0.033,104.22,0,14.375,0.033,50.753,0,20.784,0.033,72.467,0,16.052,0.071,92.395,0.018
5.24,0.3,30.218,0.067,8.363,0.3,31.981,0.067,23.999,0.2,92.917,0.033,16.046,0.2,79.827,0.033,48.938,0,188.467,0,50.564,0,170.698,0,15.71,0.2,97.173,0.033,16.994,0.2,92.182,0.033,18.065,1.4,50.563,0,41.404,0.033,112.566,0,29.262,0.033,70.727,0,14.288,0.1,50.251,0,21.029,0.1,72.957,0,16.166,0.125,92.889,0
5.355,0.233,30.104,0.033,7.473,0.233,29.013,0.033,23.819,0.267,92.352,0,15.969,0.267,79.7,0,48.278,0,188.366,0,50.639,0,171.231,0,16.084,0.067,97.876,0,17.127,0.067,93.275,0,17.774,1.333,50.64,0.033,41.121,0.067,113.249,0,38.04,0.067,96.85,0,13.974,0.033,49.393,0,21.27,0.033,72.703,0,15.982,0.089,92.605,0
5.124,0.4,29.572,0,6.912,0.4,25.876,0,23.716,0.4,92.44,0.033,15.818,0.4,79.509,0.033,48.288,0,187.892,0,49.996,0,170.409,0,15.97,0,97.649,0,17.266,0,94.777,0,17.531,1.233,50.22,0,40.947,0.2,112.737,0,41.22,0.2,105.357,0,13.613,0.033,48.735,0,20.901,0.033,72.706,0,16.32,0.089,92.849,0.018
5.192,0.267,29.707,0.033,7.732,0.267,30.479,0.033,23.648,0.3,92.676,0,15.865,0.3,79.348,0,47.651,0.167,187.373,0,49.79,0.167,169.476,0,15.909,0,97.866,0,17.166,0,92.818,0,17.081,1.133,50.033,0.033,39.977,0.133,112.205,0,40.949,0.133,105.444,0,13.594,0.067,48.543,0,20.96,0.067,72.719,0,16.248,0.125,93.051,0.018
4.639,0.133,26.88,0,7.967,0.133,31.666,0,23.625,0.267,92.655,0,15.587,0.267,79.56,0,47.128,0,186.229,0,48.861,0,169.654,0,15.661,0.067,96.527,0,17.425,0.067,93.008,0,17.059,1.167,50.061,0,39.24,0,111.454,0,40.177,0,104.128,0,13.421,0.1,47.427,0,20.656,0.1,72.117,0,16.473,0.143,93.354,0.018
3.859,0.467,22.052,0,7.969,0.467,31.834,0,23.402,0.233,92.678,0.033,15.605,0.233,78.855,0.033,46.851,0.033,186.665,0.067,48.538,0.033,168.921,0.067,15.771,0.033,96.082,0,17.571,0.033,93.522,0,16.718,1.333,49.85,0,38.288,0.167,111.053,0,39.389,0.167,103.285,0,12.86,0.033,46.442,0.033,20.338,0.033,71.141,0.033,16.243,0.125,93.501,0.018
