Inapc_1,iNapc1_BG,Inapc_2,iNapc2_BG,Inapc_3,iNapc3_BG,iNapc4,iNapc4_BG,iNapc5,iNapc5_BG,iNapc6,iNapc6_BG,iNapc7,iNapc7_BG,iNapc8,iNapc8_BG,iNapc9,iNapc9_BG,iNapc10,iNapc10_BG,iNapc11,iNapc11_BG,iNapc12,iNapc12_BG
13.017,0.069,16.323,0.056,13.25,0.056,25.4,0.083,24.458,2.219,7.258,0.094,12.188,0.141,27.905,0.094,12.249,0.062,23.067,0.114,12.468,0.33,8.867,2.523
8.009,0.132,16.008,0.076,14.25,0.076,24.914,0.118,23.876,2.25,7.211,0.047,10.701,0.125,27.938,0.266,12.318,0.156,22.856,0.17,12.452,0.364,8.862,2.261
10.977,0.111,15.634,0.076,12.233,0.076,24.842,0.104,23.511,1.672,7.195,0.094,12.208,0.141,27.635,0.141,12.234,0.141,22.709,0.182,12.29,0.261,8.909,2.216
12.778,0.09,13.046,0.111,12.159,0.111,24.801,0.174,23.179,1.984,7.077,0.141,12.32,0.141,27.784,0.109,12.02,0.188,22.716,0.159,12.156,0.25,9.023,2.057
12.759,0.083,15.347,0.139,13.377,0.139,24.666,0.083,23.233,1.844,7.08,0.062,12.034,0.047,27.659,0.203,12.129,0.094,22.702,0.102,12.157,0.148,8.935,2.182
12.632,0.083,15.213,0.111,13.159,0.111,24.424,0.069,22.402,1.984,7.11,0.188,12.404,0.062,27.606,0.172,12.138,0.109,22.572,0.136,12.191,0.182,8.874,2.239
12.547,0.09,15.047,0.09,13.299,0.09,24.131,0.097,22.439,1.906,7.107,0.078,12.078,0.109,27.409,0.141,12.084,0.109,22.562,0.159,12.133,0.216,8.912,2.284
12.422,0.153,14.76,0.111,13.025,0.111,23.512,0.097,22.313,1.828,7.17,0.109,12.215,0.109,27.069,0.281,12.029,0.141,22.399,0.125,11.94,0.273,8.715,2.273
12.278,0.125,14.615,0.076,12.736,0.076,23.957,0.083,21.841,1.766,7.111,0.125,11.774,0.062,26.956,0.234,12.084,0.125,22.518,0.136,11.87,0.227,8.753,2.25
12.233,0.049,14.457,0.076,12.833,0.076,23.34,0.083,20.901,1.422,7.215,0.016,12.106,0.078,26.924,0.156,11.912,0.109,22.214,0.148,11.713,0.25,8.736,1.886
11.957,0.132,14.063,0.125,12.607,0.125,23.529,0.111,18.705,1.781,3.874,0.156,4.415,0.125,26.54,0.203,11.857,0.156,21.77,0.239,11.654,0.216,8.636,2.011
11.871,0.09,13.95,0.076,12.524,0.076,23.26,0.125,20.369,2.031,6.769,0.125,11.979,0.078,26.497,0.188,11.658,0.141,21.752,0.216,11.449,0.261,8.446,2.091
11.794,0.146,13.944,0.104,12.272,0.104,23.297,0.062,19.664,1.938,4.881,0.094,11.995,0.062,26.202,0.203,11.63,0.047,21.831,0.227,11.257,0.148,8.452,1.807
11.732,0.104,13.766,0.111,12.222,0.111,22.549,0.111,19.006,1.766,7.288,0.156,12.05,0.094,26.014,0.156,11.499,0.188,21.521,0.148,11.293,0.341,8.473,1.591
11.528,0.069,13.519,0.104,12.13,0.104,22.531,0.09,18.652,1.781,7.267,0.109,11.304,0.109,25.871,0.078,11.433,0.094,21.332,0.227,10.909,0.295,8.228,1.636
11.419,0.09,13.535,0.097,11.971,0.097,22.424,0.062,18.062,1.453,7.247,0.172,11.484,0.078,25.599,0.203,11.364,0.078,21.364,0.227,10.953,0.205,8.242,1.773
11.402,0.097,13.082,0.069,11.839,0.069,21.873,0.097,18.241,1.578,7.248,0.125,11.835,0.047,25.457,0.234,10.47,0.062,20.954,0.182,10.891,0.216,8.17,1.705
11.145,0.111,12.898,0.097,11.662,0.097,21.85,0.125,18.198,1.391,7.106,0.047,11.347,0.062,25.503,0.156,10.779,0.141,21.068,0.136,10.83,0.273,8.109,1.568
11.043,0.09,12.949,0.188,11.684,0.188,22.018,0.09,17.899,1.703,7.129,0.062,11.744,0.141,25.257,0.141,11.058,0.109,20.781,0.159,10.435,0.205,8.233,1.67
10.936,0.097,12.638,0.097,11.583,0.097,21.564,0.083,17.357,1.359,7.198,0.109,10.45,0.094,24.866,0.203,10.915,0.141,20.645,0.193,7.856,0.205,7.928,1.75
10.784,0.069,12.597,0.111,11.511,0.111,21.238,0.076,17.227,1.359,7.223,0.141,12.295,0.172,24.738,0.281,10.963,0.094,20.482,0.091,9.975,0.148,7.92,1.534
10.645,0.097,12.47,0.083,11.277,0.083,21.357,0.097,16.977,1.516,7.327,0.047,11.439,0.125,24.658,0.172,10.962,0.109,20.473,0.045,10.337,0.25,7.962,1.58
10.515,0.118,12.211,0.076,11.166,0.076,21.096,0.09,16.635,1.562,6.938,0.109,12.166,0.094,24.174,0.234,10.642,0.156,20.162,0.08,10.189,0.182,7.897,1.432
10.558,0.069,12.325,0.083,11.206,0.083,20.869,0.09,16.922,1.438,7.241,0.172,12.115,0.125,24.258,0.203,10.782,0.156,20.199,0.182,10.068,0.261,7.851,1.398
10.449,0.139,12.129,0.035,11.105,0.035,20.615,0.076,16.315,1.344,7.045,0.109,12.347,0.078,24.039,0.344,10.695,0.078,20.14,0.182,9.983,0.216,7.763,1.557
