kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
19.786,1.137,26.813,0.185,16.647,0.072,39.185,0.021,29.528,0.455,35.964,0.027,57.52,0.082,40.925,0.023,54.296,0.082,45.533,0.023,43.328,0.115,78.955,0.043,56.605,0.115,56.407,0.043,35.983,0.115,63.713,0.053,45.009,0.115,68.724,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.113,1.17,27.053,0.187,16.766,0.057,39.21,0.023,29.332,0.463,35.823,0.038,56.469,0.08,40.889,0.019,54.574,0.08,45.199,0.019,41.764,0.168,78.977,0.043,55.025,0.168,56.497,0.043,36.544,0.125,63.372,0.029,45.248,0.125,68.334,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.27,1.16,26.884,0.19,16.88,0.057,39.078,0.017,28.781,0.478,35.434,0.038,54.902,0.084,40.167,0.015,54.444,0.084,45.002,0.015,39.911,0.144,78.509,0.034,55.529,0.144,58.654,0.034,37.037,0.058,63.198,0.053,45.608,0.058,68.068,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.664,1.076,27.02,0.16,17.025,0.072,38.94,0.021,27.966,0.438,34.643,0.03,52.858,0.099,39.605,0.025,54.136,0.099,44.684,0.025,38.994,0.183,78.656,0.048,50.651,0.183,55.377,0.048,37.559,0.106,63.338,0.048,45.819,0.106,68.181,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.911,1.034,27.241,0.19,17.147,0.061,38.751,0.013,27.379,0.434,34.025,0.038,50.995,0.11,39.07,0.004,54.347,0.11,44.62,0.004,37.197,0.212,77.695,0.038,49.701,0.212,56.047,0.038,38.236,0.091,63.331,0.048,46.128,0.091,68.505,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.133,1.126,27.147,0.168,16.883,0.042,37.728,0.027,26.699,0.47,33.47,0.034,49.047,0.082,38.205,0.011,54.13,0.082,44.307,0.011,37.099,0.159,78.479,0.029,48.595,0.159,55.699,0.029,38.421,0.125,62.849,0.058,45.998,0.125,67.512,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.522,1.179,27.375,0.194,17.079,0.069,37.772,0.017,26.235,0.476,32.721,0.038,47.251,0.074,37.59,0.021,53.77,0.074,44.03,0.021,35.771,0.149,78.137,0.038,46.395,0.149,55.258,0.038,38.581,0.077,62.895,0.058,46.257,0.077,66.911,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.827,1.131,27.438,0.198,17.347,0.061,37.821,0.015,25.721,0.43,32.258,0.04,45.859,0.072,36.933,0.017,53.669,0.072,43.886,0.017,34.43,0.197,77.425,0.062,47.97,0.197,58.585,0.062,38.515,0.072,62.595,0.048,45.992,0.072,66.648,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.124,1.16,27.494,0.21,17.379,0.048,37.516,0.015,25.34,0.509,31.609,0.034,44.489,0.059,36.471,0.025,53.891,0.059,43.571,0.025,33.355,0.159,77.201,0.029,43.481,0.159,55.801,0.029,38.534,0.072,61.898,0.034,45.928,0.072,65.815,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.572,1.171,27.516,0.192,17.3,0.061,36.974,0.017,25.47,0.49,31.825,0.019,43.93,0.065,36.491,0.023,55.093,0.065,43.612,0.023,31.681,0.154,76.216,0.043,42.904,0.154,57.75,0.043,38.258,0.144,61.199,0.053,45.029,0.144,65.051,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
