G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_11-488,G6Pdh_11-BG,G6Pdh_11-568,G6Pdh_11-BG,G6Pdh_12-488,G6Pdh_12-BG,G6Pdh_12-568,G6Pdh_12-BG,G6Pdh_13-488,G6Pdh_13-BG,G6Pdh_13-568,G6Pdh_13-BG,G6Pdh_14-488,G6Pdh_14-BG,G6Pdh_14-568,G6Pdh_14-BG,G6Pdh_15-488,G6Pdh_15-BG,G6Pdh_15-568,G6Pdh_15-BG,G6Pdh_16-488,G6Pdh_16-BG,G6Pdh_16-568,G6Pdh_16-BG,G6Pdh_17-488,G6Pdh_17-BG,G6Pdh_17-568,G6Pdh_17-BG,G6Pdh_18-488,G6Pdh_18-BG,G6Pdh_18-568,G6Pdh_18-BG,G6Pdh_19-488,G6Pdh_19-BG,G6Pdh_19-568,G6Pdh_19-BG,G6Pdh_20-488,G6Pdh_20-BG,G6Pdh_20-568,G6Pdh_20-BG,G6Pdh_21-488,G6Pdh_21-BG,G6Pdh_21-568,G6Pdh_21-BG,G6Pdh_22-488,G6Pdh_22-BG,G6Pdh_22-568,G6Pdh_22-BG
24.521,0.253,46.135,0.076,10.717,0.253,40.949,0.076,15.167,0.253,52.428,0.076,48.365,0.038,40.16,0.035,33.348,0.038,42.127,0.035,13.893,0.031,27.624,0.014,6.064,0.01,52.615,0.028,3.252,0.01,16.777,0.028,11.367,0.017,32.708,0.01,26.28,0.024,86.37,0.028,7.957,0.01,36.485,0.003,34.243,0.132,50.29,0.074,30.134,0.132,60.805,0.074,27.612,0.132,51.182,0.074,27.605,0.045,69.04,0.023,10.649,0.025,38.507,0.033,7.839,0.025,33.585,0.033,38.999,0.39,62.736,0.211,32.435,0.39,40.268,0.211,44.443,0.562,75.273,0.298,18.991,0.048,44.796,0.029,50.02,0.048,71.641,0.029
24.497,0.205,46.152,0.059,10.736,0.205,40.95,0.059,15.355,0.205,52.538,0.059,48.886,0.035,39.843,0.014,34.824,0.035,42.201,0.014,13.899,0.038,27.426,0.021,5.645,0.017,50.853,0.017,3.406,0.017,16.878,0.017,12.044,0.003,33.404,0.007,27.104,0.021,85.429,0.024,8.402,0.007,35.718,0.01,33.072,0.068,47.119,0.048,30.931,0.068,59.591,0.048,29.14,0.068,50.975,0.048,27.293,0.037,68.877,0.029,10.682,0.029,38.692,0.025,7.832,0.029,33.813,0.025,39.483,0.481,62.394,0.229,32.285,0.481,39.376,0.229,44.284,0.543,76.469,0.273,20.687,0.037,46.574,0.037,52.638,0.037,71.578,0.037
24.57,0.278,46.27,0.062,11.063,0.278,40.946,0.062,15.73,0.278,52.442,0.062,48.004,0.031,38.927,0.021,35.968,0.031,41.853,0.021,13.931,0.021,26.566,0.003,5.649,0.01,51.127,0.021,3.492,0.01,17.064,0.021,12.383,0.01,33.686,0.003,28.015,0.031,85.381,0.017,8.62,0,36,0.01,33.945,0.076,47.031,0.058,31.659,0.076,59.857,0.058,30.764,0.076,50.959,0.058,26.434,0.052,67.987,0.025,10.588,0.01,38.663,0.014,8.033,0.01,33.935,0.014,40.298,0.397,62.496,0.256,33.209,0.397,40.308,0.256,44.163,0.576,75.648,0.32,21.873,0.041,46.876,0.05,54.929,0.041,71.355,0.05
24.052,0.267,45.767,0.059,11,0.267,40.297,0.059,16.123,0.267,53.166,0.059,47.333,0.017,38.53,0.021,36.802,0.017,41.734,0.021,14.878,0.021,27.56,0.01,5.577,0.028,51.088,0.031,3.647,0.028,16.966,0.031,13.625,0.003,37.005,0.007,28.772,0.024,85.228,0.017,9.06,0.007,36.001,0.014,34.925,0.091,47.108,0.048,32.445,0.091,59.779,0.048,32.222,0.091,51.439,0.048,25.877,0.039,67.721,0.023,10.595,0.023,38.644,0.006,8.207,0.023,33.96,0.006,40.929,0.448,62.074,0.25,32.378,0.448,39.129,0.25,44.007,0.591,74.95,0.376,22.447,0.058,45.997,0.045,56.287,0.058,70.893,0.045
24.362,0.24,45.733,0.042,11.308,0.24,40.498,0.042,16.541,0.24,52.845,0.042,46.55,0.031,37.987,0.035,37.373,0.031,41.581,0.035,15.465,0.01,27.922,0.014,5.603,0.007,50.996,0.014,3.768,0.007,17.118,0.014,13.787,0.003,36.951,0.01,29.415,0.014,85.254,0.014,9.598,0.007,35.866,0.01,36.401,0.07,47.607,0.048,32.944,0.07,59.904,0.048,33.262,0.07,50.986,0.048,24.829,0.025,65.562,0.012,10.529,0.023,38.623,0.017,8.234,0.023,33.728,0.017,41.347,0.432,62.081,0.233,33.234,0.432,39.931,0.233,43.989,0.649,76.134,0.343,24.185,0.052,47.416,0.041,58.562,0.052,71.154,0.041
24.239,0.215,45.475,0.09,11.434,0.215,40.366,0.09,17.185,0.215,53.673,0.09,46.219,0.017,37.962,0.028,38.014,0.017,41.665,0.028,15.741,0.024,27.814,0.017,5.548,0,51.103,0.01,3.933,0,17.151,0.01,13.325,0.014,34.293,0.017,29.918,0.021,85.409,0.028,9.981,0.01,36.052,0.007,37.516,0.11,47.989,0.054,33.377,0.11,59.932,0.054,34.403,0.11,51.075,0.054,24.125,0.039,64.602,0.014,10.411,0.014,38.448,0.01,8.415,0.014,33.56,0.01,41.478,0.366,61.644,0.202,32.962,0.366,39.321,0.202,43.737,0.486,77.581,0.277,24.492,0.058,45.681,0.035,59.782,0.058,70.972,0.035
24.536,0.264,45.548,0.08,11.727,0.264,40.526,0.08,17.476,0.264,53.11,0.08,45.684,0.031,37.68,0.024,38.519,0.031,41.408,0.024,15.547,0.021,27.138,0.014,5.45,0.01,50.452,0.003,4.088,0.01,17.342,0.003,13.223,0.01,34.661,0.007,30.383,0.024,85.725,0.028,10.323,0.003,35.939,0,38.589,0.105,48.241,0.066,33.937,0.105,60.198,0.066,35.061,0.105,51.288,0.066,23.063,0.037,62.853,0.029,10.387,0.029,37.978,0.019,8.539,0.029,33.763,0.019,41.47,0.409,61.306,0.258,32.308,0.409,39.019,0.258,43.678,0.564,76.431,0.326,24.58,0.035,43.996,0.064,60.441,0.035,69.97,0.064
23.946,0.194,45.181,0.069,11.611,0.194,39.836,0.069,17.612,0.194,53.727,0.069,44.905,0.017,37.278,0.014,38.653,0.017,41.182,0.014,15.376,0.003,26.947,0.021,5.402,0.01,50.838,0.035,4.096,0.01,17.304,0.035,13.799,0.014,37.291,0.01,30.4,0.042,85.634,0.014,10.551,0.007,35.934,0.007,38.059,0.105,47.107,0.035,34.378,0.105,59.938,0.035,36.2,0.105,51.481,0.035,21.666,0.041,60.076,0.012,10.211,0.017,37.647,0.017,8.603,0.017,33.556,0.017,41.607,0.424,61.246,0.194,32.278,0.424,38.973,0.194,43.53,0.537,77.037,0.351,25.448,0.058,43.927,0.023,61.748,0.058,69.91,0.023
23.617,0.257,44.917,0.052,11.671,0.257,39.661,0.052,17.683,0.257,54.116,0.052,44.864,0.031,37.211,0.021,39.146,0.031,41.101,0.021,15.476,0.021,26.961,0.028,5.177,0.024,49.82,0.014,4.119,0.024,17.35,0.014,13.405,0.01,37.047,0.01,30.359,0.021,85.259,0.01,10.832,0,36.008,0.014,37.344,0.068,45.801,0.058,34.812,0.068,60.008,0.058,37.014,0.068,51.867,0.058,20.5,0.05,57.742,0.017,10.177,0.021,37.106,0.021,8.775,0.021,33.708,0.021,41.522,0.374,61.072,0.236,31.066,0.374,37.565,0.236,43.279,0.537,76.612,0.333,26.104,0.029,43.552,0.027,62.222,0.029,69.759,0.027
23.033,0.194,44.305,0.073,11.635,0.194,39.247,0.073,17.742,0.194,54.018,0.073,44.07,0.066,36.784,0.024,39.246,0.066,40.869,0.024,14.988,0.017,27.045,0.021,5.129,0.007,50.022,0.024,4.052,0.007,17.295,0.024,13.265,0.003,37.168,0.003,30.218,0.014,84.924,0.003,10.908,0.017,35.883,0.007,37.683,0.097,45.599,0.05,34.962,0.097,59.694,0.05,37.301,0.097,51.954,0.05,19.354,0.035,55.491,0.01,10.028,0.021,36.374,0.023,8.989,0.021,33.747,0.023,41.557,0.403,60.799,0.225,31.278,0.403,37.465,0.225,43.002,0.564,76.884,0.345,27.53,0.052,44.685,0.037,63.708,0.052,70.027,0.037
