Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG,Pgd_18-488,Pgd_18-BG,Pgd_18-568,Pgd_18-BG,Pgd_19-488,Pgd_19-BG,Pgd_19-568,Pgd_19-BG,Pgd_20-488,Pgd_20-BG,Pgd_20-568,Pgd_20-BG,Pgd_21-488,Pgd_21-BG,Pgd_21-568,Pgd_21-BG,Pgd_22-488,Pgd_22-BG,Pgd_22-568,Pgd_22-BG,Pgd_23-488,Pgd_23-BG,Pgd_23-568,Pgd_23-BG,Pgd_24-488,Pgd_24-BG,Pgd_24-568,Pgd_24-BG
18.405,2.127,43.043,0.71,16.5,2.127,55.156,0.71,17.91,0.688,63.676,0.22,88.261,0.688,69.592,0.22,13.548,0.486,31.633,0.122,24.322,0.486,24.876,0.122,34.191,0.464,30.934,0.122,23.09,0.464,33.883,0.122,22.829,0.059,32.296,0.032,12.801,0.023,56.296,0.011,18.705,0.023,62.272,0.011,13.964,0.023,54.874,0.011,18.092,0.271,56.653,0.076,21.679,0.271,44.33,0.076,16.531,0.271,59.702,0.076,39.002,0.025,59.721,0.003,42.776,0.025,49.548,0.003,33.503,0.275,61.402,0.209,43.436,0.022,62.602,0.012,12.789,0.079,21.24,0.028,22.32,0.035,55.233,0.018,33.314,0.253,71.024,0.159,43.758,0.008,78.715,0.01,23.316,0.008,91.898,0.01
18.824,2.23,43.1,0.652,16.879,2.23,54.773,0.652,18.317,0.654,63.475,0.222,86.585,0.654,69.313,0.222,14.015,0.521,30.879,0.111,25.942,0.521,25.67,0.111,34.594,0.45,30.799,0.106,24.212,0.45,33.384,0.106,23.05,0.046,31.825,0.03,13.187,0.008,56.4,0.006,19.2,0.008,62.302,0.006,13.701,0.008,53.807,0.006,18.621,0.226,55.443,0.081,22.387,0.226,46.038,0.081,17.018,0.226,59.892,0.081,40.283,0.03,59.107,0.01,43.952,0.03,49.141,0.01,34.346,0.253,60.076,0.185,41.55,0.021,62.348,0.009,12.635,0.067,21.012,0.022,21.746,0.026,55.17,0.01,34.06,0.238,70.909,0.182,46.119,0.016,81.396,0.005,24.704,0.016,92.695,0.005
19.31,2.198,42.913,0.679,17.113,2.198,54.127,0.679,18.749,0.578,62.935,0.175,85.936,0.578,69.792,0.175,14.118,0.508,29.646,0.115,26.565,0.508,25.675,0.115,34.436,0.456,30.588,0.11,25.08,0.456,33.001,0.11,23.976,0.031,32.043,0.029,13.71,0.025,56.418,0.025,19.88,0.025,62.374,0.025,14.174,0.025,53.888,0.025,19.193,0.241,54.976,0.055,22.662,0.241,47.144,0.055,17.531,0.241,60.167,0.055,42.084,0.017,59.435,0.023,45.116,0.017,49.056,0.023,35.602,0.243,60.109,0.206,39.499,0.02,62.16,0.018,12.578,0.073,21.09,0.028,21.293,0.028,54.906,0.021,34.536,0.243,71.05,0.166,47.294,0.009,78.827,0.01,25.28,0.009,91.188,0.01
19.59,2.267,42.577,0.731,17.284,2.267,53.416,0.731,19.298,0.561,62.678,0.199,84.559,0.561,69.723,0.199,14.49,0.52,28.961,0.124,26.145,0.52,24.834,0.124,33.728,0.4,29.962,0.084,25.7,0.4,32.368,0.084,24.506,0.041,32.018,0.031,14.249,0.008,56.389,0.002,20.737,0.008,62.472,0.002,14.686,0.008,54.24,0.002,19.45,0.25,54.635,0.059,23.014,0.25,47.783,0.059,17.942,0.25,60.439,0.059,43.847,0.026,59.657,0.014,46.204,0.026,49.152,0.014,36.798,0.263,59.84,0.197,37.774,0.029,61.982,0.018,12.612,0.073,20.859,0.022,20.806,0.031,54.837,0.015,34.85,0.241,71.136,0.129,49.662,0.015,80.208,0.009,26.628,0.015,91.84,0.009
20.613,2.25,42.83,0.714,18.258,2.25,54.484,0.714,20.048,0.615,63.712,0.22,83.624,0.615,69.103,0.22,14.773,0.515,28.328,0.121,26.417,0.515,24.893,0.121,33.117,0.434,29.883,0.089,26.583,0.434,32.302,0.089,24.861,0.017,32.088,0.021,14.713,0.015,56.256,0.013,21.301,0.015,62.551,0.013,15.058,0.015,54.088,0.013,19.747,0.25,54.427,0.06,23.33,0.25,48.684,0.06,18.504,0.25,60.462,0.06,45.61,0.03,59.595,0.014,47.023,0.03,48.948,0.014,38.36,0.281,60.382,0.191,35.928,0.015,61.734,0.013,12.465,0.089,20.586,0.03,20.368,0.038,54.649,0.016,34.87,0.22,71.07,0.15,51.238,0.022,79.926,0.013,27.502,0.022,91.668,0.013
20.894,2.316,42.666,0.708,18.485,2.316,53.732,0.708,20.847,0.573,63.324,0.224,82.873,0.573,69.786,0.224,14.639,0.523,26.948,0.11,26.916,0.523,25,0.11,32.551,0.395,29.503,0.086,27.219,0.395,31.953,0.086,25.285,0.035,32.296,0.035,15.014,0.017,56.457,0.006,21.581,0.017,62.516,0.006,15.254,0.017,54.063,0.006,19.915,0.22,53.795,0.056,23.519,0.22,49.742,0.056,18.688,0.22,60.855,0.056,47.059,0.02,59.662,0.012,47.544,0.02,48.841,0.012,39.337,0.332,60.43,0.177,34.187,0.022,61.659,0.009,12.347,0.075,20.692,0.033,19.728,0.017,54.084,0.016,34.542,0.176,70.869,0.119,52.479,0.013,78.53,0.015,28.253,0.013,90.862,0.015
21.45,2.253,42.714,0.661,18.887,2.253,53.394,0.661,21.136,0.571,63.032,0.193,81.705,0.571,69.457,0.193,14.592,0.523,25.897,0.116,26.382,0.523,24.494,0.116,31.715,0.45,29.246,0.095,27.512,0.45,31.351,0.095,25.471,0.036,32.386,0.033,15.113,0.025,56.433,0.011,21.542,0.025,62.561,0.011,15.321,0.025,54.242,0.011,20.049,0.272,53.595,0.063,23.573,0.272,50.23,0.063,19.215,0.272,61.022,0.063,48.238,0.024,59.831,0.014,47.959,0.024,48.865,0.014,40.257,0.281,60.669,0.183,32.348,0.025,61.184,0.009,12.207,0.073,20.671,0.045,19.232,0.04,53.611,0.018,34.119,0.167,70.586,0.147,53.077,0.014,76.227,0.009,29.104,0.014,89.758,0.009
21.282,2.319,41.967,0.71,18.492,2.319,51.861,0.71,21.006,0.452,62.768,0.156,81.039,0.452,70.21,0.156,15.394,0.521,26.205,0.119,27.127,0.521,25.166,0.119,31.291,0.45,28.766,0.085,28.222,0.45,31.226,0.085,25.103,0.029,32.325,0.027,14.954,0.013,56.613,0.013,21.357,0.013,62.67,0.013,15.335,0.013,54.154,0.013,19.865,0.255,53.114,0.071,23.673,0.255,51.197,0.071,19.273,0.255,61.241,0.071,49.646,0.029,60.081,0.016,48.323,0.029,49.459,0.016,40.6,0.262,59.533,0.213,30.727,0.021,60.948,0.013,12.064,0.071,20.625,0.029,18.733,0.017,52.844,0.014,33.228,0.194,69.967,0.128,52.92,0.016,72.911,0.01,29.816,0.016,87.836,0.01
21.279,2.141,41.35,0.636,18.268,2.141,50.618,0.636,20.933,0.363,62.012,0.154,79.987,0.363,70.538,0.154,15.81,0.484,25.996,0.107,26.865,0.484,24.78,0.107,31.059,0.427,28.606,0.1,28.875,0.427,31.086,0.1,24.541,0.025,32.023,0.022,14.733,0.017,56.514,0.006,20.894,0.017,62.754,0.006,15.174,0.017,53.681,0.006,19.639,0.237,52.559,0.065,23.581,0.237,51.936,0.065,19.417,0.237,61.273,0.065,50.492,0.025,60.389,0.013,48.337,0.025,49.452,0.013,40.709,0.298,58.511,0.195,28.812,0.022,60.849,0.015,11.937,0.073,20.621,0.026,18.159,0.022,51.994,0.018,32.613,0.181,69.788,0.128,54.702,0.018,73.766,0.01,30.824,0.018,88.559,0.01
21.429,2.201,41.639,0.683,18.726,2.201,50.936,0.683,21.671,0.383,62.43,0.148,78.99,0.383,69.986,0.148,16.013,0.496,25.342,0.1,26.157,0.496,23.966,0.1,30.305,0.423,28.121,0.098,29.074,0.423,30.524,0.098,24.105,0.023,31.986,0.023,14.56,0.023,56.423,0.021,20.718,0.023,62.618,0.021,15.107,0.023,53.991,0.021,19.341,0.225,51.738,0.061,23.757,0.225,52.825,0.061,19.571,0.225,61.091,0.061,51.256,0.022,60.216,0.015,48.058,0.022,49.294,0.015,41.127,0.275,58.057,0.203,27.152,0.016,60.662,0.01,11.835,0.071,20.643,0.028,17.591,0.03,51.179,0.016,32.023,0.168,69.267,0.152,57.31,0.015,76.891,0.008,32.376,0.015,89.566,0.008
