Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG
55.197,0.062,34.624,0.005,20.869,0.163,53.957,0.048,38.995,0.048,44.399,0,26.761,0.212,35.805,0.087,47.955,0.212,53.655,0.087,52.876,1.179,96.097,0.174,51.604,1.179,104.284,0.174,57.692,1.179,107.463,0.174,37.156,0.031,51.66,0.01,40.925,0.046,62.506,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.407,0.038,35.521,0.024,20.934,0.125,54.208,0.034,40.413,0.058,44.194,0.014,27.692,0.226,37.285,0.072,47.858,0.226,53.871,0.072,51.413,1.113,96.287,0.185,52.029,1.113,104.652,0.185,57.863,1.113,107.559,0.185,37.278,0.031,51.188,0.021,41.405,0.067,61.895,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.073,0.043,35.648,0.01,20.952,0.139,54.086,0.038,41.306,0.024,44.795,0.01,27.117,0.202,37.148,0.053,47.313,0.202,53.555,0.053,49.182,0.944,96.029,0.164,52.442,0.944,104.816,0.164,57.667,0.944,106.749,0.164,37.496,0.01,51.147,0.026,42.229,0.077,62.032,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.417,0.067,35.642,0.019,20.69,0.135,53.943,0.014,42.069,0.034,44.079,0.005,27.863,0.317,37.997,0.096,47.285,0.317,53.408,0.096,47.552,0.959,95.89,0.154,52.181,0.959,104.483,0.154,57.133,0.959,106.15,0.154,37.713,0.026,51.137,0.005,42.941,0.072,61.842,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.903,0.067,35.477,0.019,20.674,0.135,54.117,0.024,42.309,0.058,43.621,0.005,29.178,0.361,39.531,0.111,47.69,0.361,53.121,0.111,45.405,1.036,95.909,0.097,52.352,1.036,104.492,0.097,56.855,1.036,105.632,0.097,37.961,0.015,50.889,0.005,43.631,0.031,61.764,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.372,0.048,35.28,0.01,20.278,0.12,53.367,0.005,42.249,0.029,42.564,0.019,29.901,0.361,40.536,0.106,48.128,0.361,53.069,0.106,44.233,1.062,95.439,0.138,52.694,1.062,103.755,0.138,56.709,1.062,106.391,0.138,37.695,0.031,50.48,0.021,43.836,0.036,61.659,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.538,0.053,35.077,0.019,20.257,0.154,53.595,0.029,42.455,0.034,42.051,0.01,31.198,0.37,41.831,0.12,48.58,0.37,52.636,0.12,43.321,1.051,95.733,0.19,53.326,1.051,102.588,0.19,56.863,1.051,106.797,0.19,37.816,0.026,50.161,0.015,44.197,0.062,61.29,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.934,0.077,34.823,0,20.235,0.101,53.474,0.024,43.83,0.029,41.985,0.01,32.073,0.37,42.244,0.072,49.049,0.37,52.3,0.072,41.928,1.01,95.384,0.149,53.446,1.01,102.033,0.149,56.669,1.01,106.276,0.149,37.813,0.01,49.881,0.015,43.975,0.015,61.033,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.313,0.077,34.737,0.019,20.313,0.067,53.533,0.014,44.278,0.038,41.98,0,33.199,0.394,43.143,0.072,49.574,0.394,51.924,0.072,40.799,1,95.1,0.174,53.961,1,100.847,0.174,56.787,1,106.432,0.174,37.42,0.021,49.235,0,43.673,0.026,60.536,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.753,0.096,34.495,0.005,20.489,0.091,53.425,0.019,44.842,0.048,42.253,0.01,33.657,0.288,43.26,0.067,49.997,0.288,51.732,0.067,39.559,0.872,94.585,0.144,54.343,0.872,100.257,0.144,56.989,0.872,105.739,0.144,36.9,0.015,48.452,0.01,42.929,0.046,59.659,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.095,0.048,34.167,0.005,20.307,0.125,53.13,0.029,44.45,0.019,40.921,0,33.73,0.284,43.048,0.072,50.501,0.284,51.619,0.072,38.468,1.036,94.687,0.113,54.755,1.036,100.095,0.113,57.153,1.036,105.459,0.113,36.159,0.031,47.512,0,42.168,0.046,58.844,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.589,0.077,34.135,0.01,20.499,0.082,53.043,0.005,44.886,0.034,40.61,0.014,34.24,0.212,43.239,0.048,51.001,0.212,51.386,0.048,37.323,1.097,94.039,0.169,55.465,1.097,99.739,0.169,57.451,1.097,105.074,0.169,35.584,0.031,46.734,0.01,41.724,0.041,58.347,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.179,0.067,34.031,0.005,20.875,0.101,53.187,0.024,45.277,0.034,40.246,0.019,35.278,0.264,43.681,0.058,51.677,0.264,51.08,0.058,36.619,1.123,93.952,0.174,56.047,1.123,99.678,0.174,58.264,1.123,104.519,0.174,34.833,0.021,45.973,0.005,40.757,0.046,57.527,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.218,0.053,34.217,0.019,20.855,0.087,52.975,0.01,46.209,0.048,40.388,0.01,36,0.255,43.79,0.062,52.273,0.255,50.822,0.062,35.469,1.056,93.866,0.164,56.505,1.056,99.999,0.164,58.616,1.056,103.54,0.164,34.138,0.026,45.22,0.031,40.318,0.056,56.996,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.592,0.082,33.91,0.014,21.131,0.111,52.993,0.024,46.636,0.019,40.145,0.005,37.223,0.135,44.436,0.048,52.643,0.135,50.132,0.048,34.673,0.949,93.386,0.215,57.153,0.949,100.136,0.215,59.149,0.949,102.506,0.215,33.556,0.026,44.546,0.005,39.585,0.036,56.332,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.926,0.062,33.559,0.01,21.392,0.053,53.016,0.019,46.523,0.072,39.697,0.005,38.32,0.173,44.719,0.058,53.15,0.173,49.744,0.058,33.365,1.077,92.472,0.154,57.47,1.077,100.556,0.154,59.767,1.077,100.554,0.154,32.919,0.046,43.763,0.015,38.981,0.031,55.825,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.433,0.058,33.104,0,21.332,0.077,52.562,0.034,45.287,0.038,38.035,0.005,38.956,0.139,44.829,0.034,53.427,0.139,49.27,0.034,32.499,1.031,91.8,0.179,57.814,1.031,100.817,0.179,60.096,1.031,98.933,0.179,32.176,0.041,42.979,0,38.432,0.026,55.175,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.973,0.096,32.913,0.014,21.943,0.115,53.204,0.034,47.885,0.043,39.708,0.014,39.874,0.096,44.822,0.048,53.649,0.096,48.561,0.048,32.019,1.072,91.512,0.159,58.483,1.072,100.802,0.159,61.08,1.072,98.131,0.159,31.471,0.021,42.161,0.015,37.883,0.051,54.571,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
