kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
68.146,0.45,62.98,0.129,13.46,0.043,61.809,0.021,13.62,0.043,67.535,0.021,65.384,0.074,66.656,0.018,32.445,0.186,31.096,0.171,11.114,0.412,70.43,0.181,9.98,0.412,77.623,0.181,91.021,0.014,91.554,0,44.515,0.014,76.048,0,43.505,0,70.851,0.171,55.687,0,79.587,0,4.58,0,6.496,0,41.919,0.313,66.981,0.101,19.66,0.687,33.387,0.404,14.441,0.687,55.886,0.404,21.741,0.687,74.582,0.404,14.175,0.012,31.735,0.018
69.712,0.536,62.991,0.157,13.804,0.036,61.068,0.036,13.782,0.036,68.071,0.036,67.877,0.1,66.921,0.035,32.73,0.079,31.205,0.036,11.075,0.307,67.659,0.147,8.974,0.307,76.004,0.147,88.789,0.056,88.763,0.042,44.026,0.056,71.814,0.042,41.858,0,65.314,0.036,54.569,0,74.907,0.028,4.349,0,5.981,0.028,39.821,0.356,66.232,0.083,19.921,0.685,33.141,0.404,14.624,0.685,55.671,0.404,22.007,0.685,74.582,0.404,14.616,0.02,31.216,0.008
71.162,0.5,62.637,0.193,14.179,0.064,61.505,0.029,14.008,0.064,67.386,0.029,68.782,0.085,65.714,0.006,33.055,0.071,31.146,0.036,11.227,0.277,67.316,0.122,8.995,0.277,75.773,0.122,89.27,0.014,88.105,0,45.537,0.014,71.678,0,43.151,0.042,64.981,0.036,56.181,0.042,74.966,0.028,4.449,0.042,5.95,0.028,38.061,0.331,66.217,0.097,20.41,0.731,33.036,0.455,15.065,0.731,55.787,0.455,22.353,0.731,74.6,0.455,15.029,0.016,30.819,0.01
72.924,0.393,63.106,0.136,14.263,0.029,59.943,0.036,14.153,0.029,68.98,0.036,69.133,0.065,65.199,0.032,32.149,0.021,30.156,0.014,11.522,0.307,67.71,0.097,9.167,0.307,75.529,0.097,89.977,0.014,87.974,0.014,47.124,0.014,71.106,0.014,44.382,0,64.285,0.014,57.781,0,74.601,0.028,4.545,0,5.886,0.028,36.18,0.307,65.763,0.075,20.535,0.699,33.011,0.396,15.157,0.699,55.698,0.396,22.52,0.699,74.423,0.396,15.701,0.024,30.974,0.014
74.06,0.393,63.004,0.107,14.865,0.071,60.118,0.014,14.352,0.071,68.533,0.014,69.258,0.047,64.662,0.035,31.787,0.021,30.343,0.036,11.765,0.382,67.671,0.113,9.313,0.382,75.594,0.113,90.783,0,87.845,0,49.067,0,71.364,0,46.327,0,64.898,0.036,59.751,0,75.307,0,4.706,0,5.945,0,34.546,0.341,65.898,0.095,20.763,0.612,32.714,0.372,15.419,0.612,55.503,0.372,22.759,0.612,74.33,0.372,16.377,0.03,30.967,0.006
75.532,0.393,63.123,0.086,15.193,0.064,59.805,0.014,14.505,0.064,69.308,0.014,69.319,0.076,64.492,0.015,30.69,0.079,29.636,0.043,11.852,0.353,67.191,0.13,9.396,0.353,75.33,0.13,91.384,0.014,87.99,0.014,50.868,0.014,71.445,0.014,48.093,0,65.123,0.043,61.318,0,75.375,0.028,4.836,0,5.961,0.028,32.992,0.323,66.147,0.081,20.685,0.648,32.564,0.384,15.447,0.648,55.203,0.384,22.899,0.648,74.202,0.384,16.788,0.02,30.663,0.02
75.814,0.386,63.089,0.114,15.738,0.029,60.467,0.021,14.706,0.029,68.525,0.021,69.293,0.082,64.329,0.021,29.774,0.136,29.763,0.093,11.921,0.286,67.502,0.088,9.483,0.286,75.213,0.088,91.957,0.042,88.134,0.056,52.741,0.042,72.052,0.056,50.012,0,65.718,0.093,63.047,0,75.734,0.014,4.984,0,6.012,0.014,31.415,0.339,65.988,0.091,20.586,0.6,31.948,0.366,15.517,0.6,54.61,0.366,22.922,0.6,73.783,0.366,17.342,0.016,30.501,0.016
75.979,0.379,63.519,0.114,15.663,0.043,58.593,0.021,14.7,0.043,69.841,0.021,68.666,0.065,63.3,0.029,28.94,0.064,29.873,0.043,11.808,0.307,66.794,0.097,9.227,0.307,75.015,0.097,91.199,0.014,87.525,0.014,53.641,0.014,70.966,0.014,49.772,0.014,63.901,0.043,62.832,0.014,74.561,0,4.928,0.014,5.856,0,29.743,0.301,65.98,0.093,20.155,0.586,31.733,0.356,15.326,0.586,53.983,0.356,22.831,0.586,73.244,0.356,17.903,0.02,30.573,0.014
75.238,0.393,63.676,0.086,15.685,0.043,57.798,0.014,14.671,0.043,70.681,0.014,68.702,0.05,63.507,0.029,27.407,0.086,29.56,0.043,11.612,0.244,66.703,0.097,9.169,0.244,74.829,0.097,89.934,0.042,86.628,0.014,53.779,0.042,69.512,0.014,49.429,0.014,62.205,0.043,62.338,0.014,73.338,0.028,4.862,0.014,5.708,0.028,28.164,0.275,66.016,0.089,19.858,0.592,31.283,0.356,15.286,0.592,53.764,0.356,22.796,0.592,73.089,0.356,18.536,0.022,30.53,0.014
73.724,0.357,63.606,0.114,15.327,0.043,55.652,0.036,14.523,0.043,71.771,0.036,68.318,0.065,63.233,0.044,26.57,0.064,29.443,0.043,11.478,0.319,66.289,0.155,9.023,0.319,74.654,0.155,89.051,0.028,85.862,0,54.171,0.028,68.85,0,49.551,0.042,61.47,0.043,62.587,0.042,72.769,0.028,4.859,0.042,5.639,0.028,26.716,0.287,65.557,0.095,19.428,0.564,31.05,0.38,15.19,0.564,53.337,0.38,22.786,0.564,72.501,0.38,18.835,0.022,30.433,0.024
