ND 75,escaped,dead,ND 75,escaped,dead,kl-5,escaped,dead,kl-5,escaped,dead,G6Pdh KK,escaped,dead,G6Pdh-KK,escaped,dead,Pgd-KK,escaped,dead,Pgd KK,escaped,dead
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,0,0,3,1,0,3,0,0,3,1,1,3,1,0,3,0,1,3,1,1,3,1,2
5,0,0,5,1,0,5,0,0,5,1,0,5,0,0,5,0,1,5,0,1,5,0,0
8,4,0,8,5,0,8,2,0,8,1,1,8,0,0,8,8,2,8,1,0,8,4,1
10,3,0,10,0,1,10,1,0,10,0,0,10,3,0,10,0,0,10,1,0,10,0,0
12,0,0,12,1,0,12,0,0,12,0,0,12,2,1,12,0,0,12,1,0,12,3,0
15,1,0,15,2,0,15,1,0,15,0,0,15,2,1,15,10,0,15,1,2,15,1,0
17,1,1,17,0,1,17,0,0,17,1,0,17,1,0,17,0,1,17,0,0,17,7,0
19,1,0,19,0,1,19,0,0,19,0,0,19,1,0,19,0,0,19,2,9,19,0,0
22,1,1,22,1,0,22,0,0,22,1,1,22,2,0,22,0,1,22,3,0,22,3,0
24,0,0,24,3,0,24,2,0,24,0,1,24,0,0,24,0,0,24,1,0,24,0,1
26,1,2,26,0,1,26,1,0,26,0,1,26,3,0,26,0,0,26,0,2,26,1,1
29,1,3,29,0,2,29,0,2,29,1,0,29,0,0,29,2,4,29,3,8,29,1,5
31,0,0,31,0,3,31,0,1,31,3,1,31,2,2,31,0,0,31,0,2,31,1,4
33,0,6,33,1,11,33,0,1,33,1,0,33,0,1,33,0,4,33,1,3,33,1,1
36,2,16,36,2,16,36,1,3,36,0,5,36,2,11,36,0,20,36,3,4,36,0,8
38,1,5,38,0,19,38,1,3,38,0,3,38,6,8,38,7,19,38,5,7,38,1,20
40,4,22,40,2,24,40,0,8,40,0,12,40,0,20,40,0,32,40,2,18,40,1,25
43,0,46,43,3,28,43,0,37,43,5,47,43,0,56,43,3,25,43,1,34,43,1,25
45,0,6,45,0,3,45,0,35,45,1,22,45,0,3,45,0,5,45,0,9,45,0,10
47,1,1,47,0,2,47,0,17,47,0,9,47,0,4,47,0,0,47,0,15,47,0,3
50,0,0,50,0,1,50,1,8,50,0,4,50,0,6,50,0,0,50,0,7,50,0,1
52,0,0,52,0,0,52,0,2,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0
54,0,0,54,0,0,54,1,1,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0
57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0
59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0
61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0
